file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_325_397_65.png,249,177,112,252,252,240
face_949_205_76.png,249,160,93,253,254,239
face_322_208_151.png,242,148,83,253,254,246
face_214_250_42.png,247,176,90,253,254,246
face_228_228_67.png,243,149,91,252,252,224
face_477_204_56.png,250,212,108,251,238,192
face_359_237_1.png,242,168,144,253,248,240
face_300_189_44.png,243,173,104,253,254,238
face_934_186_69.png,242,135,82,253,253,251
face_228_326_142.png,248,179,103,253,254,251
face_303_211_103.png,244,140,80,252,254,248
face_270_290_77.png,233,150,83,252,247,226
face_295_204_116.png,238,131,49,253,254,246
face_174_249_35.png,246,164,80,253,254,234
face_614_204_36.png,249,163,96,253,251,225
face_332_270_31.png,231,122,45,253,254,228
face_274_187_136.png,236,156,80,253,254,235
face_382_171_6.png,244,184,101,252,253,242
face_235_274_13.png,245,141,75,252,248,228
face_477_204_87.png,250,209,100,252,239,193
face_759_142_30.png,244,189,139,253,254,245
face_318_295_19.png,249,184,115,253,253,218
face_388_209_105.png,246,157,87,253,254,244
face_204_227_93.png,233,144,74,252,253,214
face_299_299_5.png,242,124,63,253,254,235
face_346_173_138.png,247,164,73,252,253,243
face_295_204_123.png,238,116,37,253,254,246
face_202_346_108.png,236,141,76,252,249,233
face_293_209_148.png,231,167,121,252,253,224
face_388_209_39.png,248,163,92,253,254,244
face_294_415_53.png,166,121,57,253,254,230
face_294_329_107.png,247,184,130,252,254,247
face_294_207_154.png,230,131,77,253,236,214
face_329_395_46.png,237,138,67,252,241,209
face_303_189_121.png,251,229,133,253,254,247
face_394_513_26.png,233,117,70,252,252,221
face_245_163_51.png,249,199,134,253,252,232
face_261_163_7.png,240,132,60,253,254,247
face_274_216_128.png,244,203,139,253,254,243
face_227_227_159.png,231,140,50,253,254,242
face_260_187_99.png,238,161,39,252,243,223
face_341_242_8.png,214,147,84,252,246,219
face_467_155_68.png,245,177,126,253,253,239
face_614_204_133.png,247,147,84,253,251,224
face_245_163_49.png,249,198,132,253,252,232
face_290_290_34.png,246,185,131,253,252,231
face_272_227_155.png,228,165,96,253,254,224
face_316_442_11.png,244,178,84,252,250,239
face_299_327_82.png,240,177,95,253,254,235
face_554_240_140.png,242,153,80,252,253,240
face_322_151_29.png,242,167,95,252,250,225
face_273_199_131.png,247,191,109,253,254,248
face_284_493_91.png,237,134,82,253,254,245
face_726_341_2.png,217,151,75,253,248,216
face_245_231_18.png,235,115,49,252,252,238
face_554_240_41.png,245,198,135,252,253,239
face_323_249_125.png,242,116,74,253,254,242
face_158_369_3.png,245,148,89,251,246,232
face_268_284_55.png,230,101,38,253,253,238
face_635_288_37.png,246,198,118,253,254,233
face_373_224_124.png,243,125,69,252,253,239
face_156_313_74.png,235,146,85,253,254,251
face_261_163_90.png,250,181,104,253,254,247
face_298_199_17.png,241,155,64,253,254,235
face_240_397_21.png,247,200,109,253,253,229
face_188_235_70.png,245,154,73,253,253,229
face_303_189_109.png,242,159,74,253,250,219
face_455_246_129.png,243,142,46,253,254,227
face_289_240_54.png,250,189,78,252,254,231
face_265_284_134.png,238,135,68,253,253,236
face_250_204_104.png,243,134,56,253,250,232
face_272_272_96.png,236,158,101,253,254,233
face_373_224_112.png,244,148,90,252,253,240
face_409_181_145.png,246,102,22,252,246,216
face_200_432_149.png,138,88,38,251,226,172
face_261_196_4.png,249,174,118,253,254,252
face_298_199_117.png,241,164,86,253,254,236
face_329_184_98.png,236,157,90,252,247,219
face_284_205_73.png,246,173,135,252,253,247
face_293_247_152.png,237,167,132,252,251,238
face_887_181_71.png,230,149,81,252,253,228
face_425_261_48.png,241,178,121,253,252,232
face_621_196_126.png,242,159,92,253,254,247
face_348_348_12.png,208,147,97,229,228,216
face_486_275_137.png,66,12,0,251,199,151
face_897_197_58.png,234,142,90,252,249,240
face_268_298_40.png,240,194,108,253,254,243
face_953_173_0.png,248,184,117,253,253,234
face_360_227_24.png,246,177,97,253,254,237
face_388_179_45.png,245,142,70,253,252,231
face_363_207_83.png,203,102,60,250,248,239
face_297_297_20.png,242,178,109,253,251,225
face_294_242_111.png,237,148,78,253,240,220
face_385_180_23.png,249,168,120,253,254,238
face_422_316_84.png,237,143,69,253,253,246
face_759_142_66.png,250,195,141,253,254,242
face_98_196_139.png,251,202,160,252,250,226
face_189_227_85.png,248,196,153,252,254,245
face_261_294_115.png,248,201,134,252,252,233
face_897_197_95.png,235,147,97,252,249,239
face_290_356_157.png,237,140,73,252,253,236
face_245_245_32.png,247,198,121,253,254,251
face_385_180_81.png,248,177,131,253,254,237
face_273_199_97.png,245,184,114,253,254,238
face_288_158_60.png,240,108,36,253,254,236
