file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_151_189_30.png,218,185,112,253,243,230
face_242_242_27.png,238,210,128,240,222,215
face_1054_346_56.png,230,196,90,232,205,187
face_436_228_140.png,204,161,91,252,254,235
face_440_352_149.png,194,165,103,237,217,209
face_925_89_90.png,234,222,118,232,207,186
face_327_81_67.png,233,182,79,250,241,229
face_273_124_57.png,184,135,45,247,206,172
face_59_268_39.png,208,163,91,249,240,216
face_361_156_91.png,234,208,96,235,216,204
face_458_91_39.png,250,230,156,248,240,216
face_418_86_21.png,180,123,28,243,226,214
face_1114_227_138.png,246,207,88,245,219,195
face_211_303_69.png,236,216,133,244,222,210
face_127_255_119.png,234,201,108,241,219,205
face_150_341_28.png,229,206,109,240,225,212
face_343_131_126.png,169,103,45,251,232,204
face_497_122_139.png,202,163,77,243,221,212
face_436_540_115.png,233,199,109,239,221,211
face_477_229_159.png,249,221,113,247,219,199
face_257_257_145.png,185,177,29,253,254,252
face_228_96_11.png,251,232,157,251,202,186
face_188_282_48.png,245,147,78,253,245,218
face_433_72_74.png,253,236,158,250,211,186
face_623_381_127.png,252,252,165,253,246,238
face_270_124_153.png,245,173,31,248,215,202
face_204_204_117.png,249,248,90,252,254,246
face_250_159_158.png,242,222,115,249,224,207
face_159_204_45.png,199,143,54,253,242,223
face_214_420_112.png,250,232,103,251,234,217
face_494_108_79.png,189,149,65,252,235,215
face_872_322_64.png,233,223,153,231,218,219
face_250_136_31.png,227,189,106,253,244,231
face_883_173_9.png,233,202,77,233,205,192
face_597_267_81.png,29,22,21,246,232,216
face_277_118_113.png,196,157,96,236,224,214
face_94_113_139.png,246,218,111,246,226,215
face_939_158_147.png,232,217,156,234,229,225
face_245_231_71.png,232,199,87,234,211,204
face_249_149_92.png,238,162,91,252,223,209
face_982_187_152.png,237,214,90,239,222,212
face_156_137_142.png,226,206,127,234,216,207
face_136_136_104.png,252,225,157,252,218,201
face_298_119_52.png,235,150,56,252,247,227
face_462_432_7.png,232,206,117,240,224,214
face_110_94_112.png,252,237,86,253,240,218
face_151_132_76.png,239,215,126,241,227,218
face_189_132_103.png,216,181,115,246,217,190
face_284_201_66.png,235,213,103,231,202,180
face_597_267_78.png,191,160,88,246,232,216
face_208_189_110.png,234,199,102,239,221,207
face_815_128_73.png,247,210,72,250,228,205
face_228_96_102.png,252,233,152,250,200,185
face_100_190_3.png,236,213,102,236,214,202
face_273_149_13.png,252,242,147,252,245,221
face_158_567_41.png,231,184,72,233,201,175
face_1063_163_85.png,229,175,98,253,244,234
face_265_170_156.png,205,160,53,252,243,221
face_207_228_40.png,251,234,144,252,235,216
face_189_126_47.png,236,215,116,240,221,213
face_268_149_61.png,241,206,98,246,231,220
face_211_211_43.png,234,206,115,240,224,213
face_409_159_154.png,250,219,147,248,214,200
face_332_231_37.png,244,127,114,249,231,156
face_358_507_120.png,238,207,121,241,226,216
face_163_490_51.png,243,210,92,243,223,206
face_838_332_29.png,235,227,153,242,228,222
face_348_458_158.png,243,234,147,246,224,207
face_326_130_54.png,226,149,40,250,216,208
face_118_224_82.png,235,205,102,240,228,215
face_379_322_86.png,209,136,108,252,241,189
face_90_295_17.png,202,156,96,253,254,234
face_142_174_125.png,237,220,119,238,227,214
face_510_90_112.png,169,133,38,251,229,207
face_187_86_49.png,219,152,58,249,231,200
face_246_94_15.png,236,200,103,243,227,215
face_270_124_94.png,223,180,106,253,243,233
face_415_485_124.png,231,202,105,236,217,208
face_265_132_53.png,238,209,119,240,223,213
face_174_224_14.png,6,2,0,252,243,233
face_198_319_53.png,234,200,99,237,220,211
