file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_382_184_43.png,219,82,49,251,222,202
face_224_74_12.png,197,106,55,249,218,201
face_120_180_99.png,206,115,29,236,220,203
face_301_216_5.png,183,87,22,235,214,198
face_238_312_130.png,221,122,51,243,224,211
face_224_184_91.png,184,92,26,233,212,196
face_461_435_47.png,205,112,37,252,243,227
face_209_77_140.png,212,121,68,251,224,203
face_872_170_34.png,206,87,31,236,218,207
face_398_151_17.png,106,57,30,249,229,213
face_386_159_6.png,194,73,42,249,209,191
face_980_158_110.png,211,116,41,239,229,210
face_273_273_51.png,223,92,29,245,225,203
face_461_461_9.png,80,8,10,252,246,225
face_246_94_76.png,233,125,31,242,234,206
face_303_132_146.png,214,115,63,252,226,199
face_946_174_157.png,226,103,39,243,220,203
face_316_79_58.png,195,76,4,239,222,207
face_250_113_83.png,212,115,68,252,228,201
face_110_143_108.png,206,93,31,238,224,213
face_300_189_40.png,209,71,15,237,224,209
face_405_130_129.png,212,94,42,241,221,206
face_379_158_14.png,226,129,20,246,232,214
face_252_405_73.png,214,116,58,239,225,214
face_518_572_68.png,216,88,8,248,205,180
face_934_394_116.png,220,123,53,240,222,212
face_136_136_124.png,181,93,55,249,218,205
face_45_136_77.png,228,95,62,248,246,229
face_158_361_50.png,206,92,6,238,222,207
face_110_183_85.png,175,90,43,240,225,214
face_208_170_0.png,222,115,65,253,225,204
face_216_289_158.png,210,101,34,247,219,197
face_198_588_100.png,211,119,64,234,222,215
face_140_180_133.png,199,110,36,237,219,202
face_90_500_104.png,210,99,24,237,218,203
face_385_150_130.png,191,103,53,244,226,215
face_436_353_129.png,210,78,30,244,226,211
face_418_187_132.png,197,98,31,234,216,202
face_944_190_52.png,80,32,9,227,155,100
face_354_163_134.png,97,50,27,250,218,198
face_99_520_103.png,183,85,15,251,233,207
face_432_60_25.png,157,84,49,241,223,213
face_170_189_23.png,220,91,29,241,227,217
face_284_632_30.png,199,90,24,245,227,211
face_474_501_45.png,221,110,12,244,231,214
face_205_427_95.png,208,93,16,241,233,222
face_99_149_148.png,173,88,40,250,217,198
face_466_122_159.png,174,81,9,248,237,224
face_75_151_82.png,74,23,29,250,237,200
face_261_98_48.png,226,121,41,241,217,189
face_346_207_102.png,182,97,22,234,215,197
face_272_136_53.png,192,52,12,240,215,195
face_462_401_96.png,133,67,34,237,220,209
face_518_518_15.png,212,84,11,248,206,182
face_1025_202_65.png,211,87,26,234,207,181
face_265_170_35.png,225,126,62,240,228,220
face_773_250_64.png,198,78,11,240,228,216
face_221_251_135.png,59,20,23,238,221,194
face_99_448_159.png,180,81,43,247,237,222
face_996_158_55.png,171,48,11,230,207,184
face_415_86_49.png,132,44,18,248,232,208
face_151_227_155.png,194,80,9,240,223,208
face_158_369_149.png,203,88,40,240,224,212
face_274_274_125.png,134,56,24,253,245,223
face_274_202_81.png,204,76,3,240,228,210
face_132_360_111.png,192,82,38,234,213,201
face_335_150_144.png,198,92,27,239,222,205
face_272_190_36.png,191,81,8,241,226,213
face_317_72_74.png,161,63,17,248,234,211
face_317_72_80.png,230,101,31,249,233,209
face_939_156_128.png,210,100,16,237,220,207
face_432_140_61.png,214,107,24,238,223,209
face_281_482_11.png,203,108,36,236,218,205
face_337_144_142.png,209,106,6,243,226,209
face_432_159_79.png,126,91,48,252,242,233
face_427_174_114.png,210,97,11,239,227,210
face_910_189_105.png,204,104,26,240,229,211
face_379_588_56.png,202,98,31,240,228,217
face_68_477_123.png,214,114,9,245,230,213
face_332_346_120.png,167,81,44,253,236,219
face_207_173_154.png,225,106,33,236,211,185
face_246_94_19.png,234,124,27,243,235,206
face_322_286_70.png,184,90,30,236,214,197
face_354_163_3.png,192,73,11,241,224,211
face_198_121_46.png,216,76,11,237,217,201
face_373_332_103.png,209,106,23,252,235,212
face_386_136_16.png,105,71,59,252,254,238
face_145_103_39.png,213,104,39,235,213,202
face_547_522_152.png,53,32,26,253,243,222
face_120_462_129.png,192,63,21,241,222,208
face_246_94_27.png,227,114,26,244,236,208
face_208_265_69.png,219,115,46,252,235,216
face_277_105_1.png,196,86,14,242,225,211
face_98_294_151.png,224,121,28,244,233,221
face_126_205_93.png,72,27,19,251,239,220
face_442_180_85.png,219,126,30,241,225,212
face_409_144_121.png,186,76,22,235,207,183
face_174_249_44.png,134,9,4,253,254,250
face_381_150_153.png,227,131,40,241,229,218
face_1232_413_28.png,136,67,28,238,221,208
face_96_96_72.png,119,17,1,251,207,181
face_220_308_42.png,109,49,14,240,223,206
face_433_90_103.png,185,91,16,251,229,202
face_394_124_73.png,226,121,55,240,227,214
face_265_151_139.png,187,110,92,250,237,225
face_363_159_63.png,228,98,34,240,231,221
face_218_218_127.png,187,56,9,245,217,189
face_191_612_24.png,205,88,22,238,197,123
