file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_442_284_132.png,128,108,148,248,237,194
face_196_163_5.png,140,99,101,253,251,203
face_772_199_27.png,146,112,126,253,229,188
face_211_241_4.png,152,106,124,252,209,177
face_145_303_113.png,49,38,37,237,202,178
face_92_105_123.png,101,70,116,250,238,194
face_332_41_146.png,128,90,125,240,211,204
face_83_270_92.png,132,107,119,245,243,223
face_436_360_82.png,117,80,88,251,239,189
face_346_202_74.png,30,24,15,252,237,196
face_202_270_79.png,158,127,139,253,233,216
face_348_124_135.png,50,42,51,251,224,179
face_1140_114_149.png,136,117,120,239,224,188
face_201_419_32.png,95,57,53,249,220,136
face_107_214_61.png,130,121,126,250,230,211
face_235_274_156.png,82,51,71,252,205,148
face_45_136_99.png,87,75,94,248,202,160
face_0_149_83.png,92,66,84,252,237,217
face_277_173_115.png,73,45,65,251,248,196
face_288_158_14.png,114,74,73,252,201,117
face_132_417_20.png,121,93,88,252,245,190
face_608_135_6.png,56,56,73,235,231,232
face_204_84_85.png,143,112,98,249,240,219
face_348_124_112.png,54,45,54,251,224,179
face_1092_128_153.png,141,106,137,248,216,187
face_327_136_28.png,200,177,191,252,236,210
face_824_30_34.png,85,58,63,241,211,191
face_170_432_133.png,150,102,120,247,204,173
face_554_614_50.png,66,44,74,207,192,176
face_379_189_23.png,100,83,105,251,233,188
face_300_585_127.png,160,120,114,252,236,183
face_257_171_107.png,117,89,106,252,195,151
face_398_249_33.png,90,77,100,239,226,202
face_151_493_68.png,187,149,150,250,234,191
face_96_228_116.png,151,106,124,252,209,175
face_747_145_40.png,191,128,152,253,222,186
face_290_369_84.png,108,98,135,246,241,215
face_1059_685_137.png,94,82,111,253,242,212
face_319_418_2.png,147,86,91,252,212,164
face_295_409_71.png,140,110,114,252,238,194
face_199_149_150.png,115,93,121,252,220,198
face_1068_181_121.png,157,111,134,247,241,216
face_289_96_60.png,205,191,166,249,243,194
face_373_149_157.png,83,77,89,224,205,185
face_94_151_93.png,95,59,97,245,223,215
face_376_431_69.png,133,125,136,239,226,199
face_841_136_13.png,117,83,92,252,221,193
face_229_76_143.png,151,147,159,253,246,227
face_323_149_129.png,198,175,188,252,236,213
face_261_130_58.png,173,171,191,251,234,216
face_1080_83_99.png,83,72,98,245,200,164
face_58_243_31.png,191,138,150,252,219,175
face_207_311_67.png,202,151,122,247,196,161
face_484_649_136.png,170,137,149,253,228,206
face_1095_277_37.png,115,74,97,253,222,196
face_149_418_105.png,165,123,134,247,227,184
face_711_506_110.png,126,68,75,239,191,131
face_211_241_91.png,152,107,125,252,209,175
face_417_170_141.png,140,115,116,223,193,165
face_136_490_144.png,170,134,152,230,193,175
face_772_199_87.png,146,113,127,252,228,187
face_814_190_70.png,121,78,105,248,196,169
face_81_821_8.png,156,106,120,239,214,190
face_461_171_76.png,124,94,103,245,212,165
face_37_777_100.png,189,146,152,253,215,191
face_601_214_18.png,110,98,115,248,237,212
face_235_235_128.png,81,62,74,249,204,172
face_484_407_104.png,149,108,97,249,234,187
face_442_126_56.png,106,55,83,244,245,219
face_810_166_99.png,83,69,97,247,192,149
face_132_132_49.png,44,32,49,247,233,198
face_0_119_15.png,159,118,151,252,236,215
face_163_196_51.png,102,85,83,254,231,193
face_502_623_124.png,252,233,117,252,223,188
face_159_136_109.png,180,169,199,252,241,226
face_323_174_52.png,129,103,136,242,225,210
face_363_138_97.png,155,119,126,236,220,187
face_549_809_78.png,158,115,139,237,196,191
face_341_204_3.png,164,114,139,253,254,252
face_170_432_158.png,152,103,120,246,205,177
face_227_136_147.png,64,54,74,245,238,223
face_985_298_63.png,144,109,129,252,222,187
face_286_461_41.png,111,84,87,252,233,190
face_348_398_152.png,227,205,228,253,237,226
face_948_189_19.png,146,103,116,252,220,179
face_572_179_138.png,145,95,122,250,202,161
face_361_245_94.png,106,92,149,252,253,252
face_427_522_57.png,195,147,168,246,210,186
face_932_136_142.png,174,143,146,245,231,194
face_227_94_62.png,115,71,67,252,234,169
face_235_235_66.png,122,95,114,251,208,182
face_158_316_77.png,148,100,100,235,204,172
face_250_159_64.png,149,122,107,253,239,187
face_163_163_72.png,102,76,108,253,215,195
face_221_76_101.png,168,161,167,252,252,226
face_1068_181_111.png,155,109,132,246,241,215
face_66_88_36.png,144,98,113,252,224,185
face_612_474_86.png,189,176,205,252,232,202
face_804_201_65.png,146,121,136,245,220,193
face_190_259_90.png,118,70,70,246,237,218
face_1176_94_155.png,108,74,90,213,153,121
face_574_459_134.png,169,127,115,252,225,183
face_257_257_148.png,85,64,79,252,208,181
face_739_265_126.png,107,83,87,249,220,188
face_98_163_22.png,148,115,154,252,242,215
