file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_445_409_98.png,131,38,73,251,234,180
face_409_409_61.png,155,29,46,253,239,169
face_99_319_30.png,248,120,140,253,253,224
face_540_311_142.png,30,17,18,253,242,178
face_815_257_11.png,252,195,159,39,35,26
face_227_208_82.png,116,23,69,252,235,192
face_227_181_71.png,152,34,68,253,241,177
face_682_204_88.png,242,48,94,105,47,70
face_187_288_24.png,240,76,92,248,223,176
face_264_407_116.png,201,84,37,233,224,179
face_290_237_93.png,35,31,26,234,220,201
face_227_208_47.png,125,8,59,253,230,195
face_341_204_85.png,214,62,97,224,135,132
face_131_409_75.png,115,13,33,247,232,173
face_473_286_63.png,81,21,16,241,223,194
face_319_264_33.png,58,49,40,244,220,159
face_409_156_126.png,44,53,45,235,214,197
face_245_218_0.png,155,22,74,253,245,207
face_407_66_30.png,127,35,71,252,222,195
face_170_189_114.png,36,34,34,236,204,182
face_329_346_25.png,33,32,23,230,189,165
face_260_114_6.png,236,78,89,253,241,182
face_209_209_62.png,214,86,93,249,240,196
face_290_290_66.png,27,13,17,253,252,202
face_303_132_131.png,191,42,89,253,248,204
face_68_386_55.png,25,18,13,241,230,199
face_369_316_4.png,46,50,45,253,250,210
face_149_179_96.png,67,59,57,243,221,178
face_275_706_12.png,201,81,79,241,239,217
face_227_204_91.png,215,18,44,252,248,193
face_540_228_46.png,235,65,91,253,229,173
face_317_245_117.png,248,94,30,252,234,181
face_330_495_30.png,101,11,28,252,248,213
face_149_124_105.png,252,112,70,252,235,178
face_131_145_132.png,32,17,10,250,222,202
face_932_181_154.png,58,59,58,242,212,169
face_893_207_150.png,49,51,51,249,211,179
face_363_181_79.png,139,47,79,252,200,158
face_284_227_122.png,239,59,92,253,244,188
face_295_159_53.png,116,11,24,251,223,175
face_207_155_57.png,248,71,63,253,248,212
face_258_328_6.png,149,49,47,252,227,160
face_537_119_133.png,53,52,67,251,207,183
face_560_207_109.png,233,54,80,247,237,212
face_352_390_107.png,153,26,54,242,233,189
face_121_638_6.png,242,78,75,252,243,152
face_228_294_34.png,108,33,10,249,222,178
face_253_209_123.png,244,68,105,253,248,208
face_363_329_1.png,113,16,29,250,243,208
face_199_199_19.png,252,73,127,127,47,81
face_318_272_106.png,26,14,18,251,237,173
face_883_138_101.png,94,100,100,252,239,182
face_379_379_155.png,65,45,42,252,241,177
face_1240_65_30.png,154,28,85,253,243,217
face_902_77_30.png,144,29,64,253,250,214
face_221_237_21.png,249,97,123,253,251,204
face_640_242_58.png,42,15,18,253,245,172
face_429_242_77.png,68,44,19,237,218,165
face_270_145_18.png,170,53,71,245,238,193
face_249_199_3.png,227,20,54,251,212,188
face_297_209_76.png,244,68,105,253,252,202
face_371_110_125.png,45,34,16,239,220,166
face_290_124_45.png,66,68,65,237,224,199
face_359_294_158.png,20,18,14,253,245,187
face_272_295_16.png,226,55,69,253,238,162
face_537_316_94.png,44,35,50,226,189,170
face_250_272_145.png,88,20,42,250,239,156
face_186_270_54.png,49,52,50,197,188,169
face_474_379_139.png,35,23,24,251,232,167
face_830_207_23.png,91,17,31,251,181,135
face_224_105_27.png,145,38,69,252,242,186
face_207_225_146.png,105,23,38,253,251,200
face_218_218_97.png,19,16,25,253,238,218
face_363_294_41.png,144,44,67,236,224,184
face_883_363_84.png,27,18,13,220,200,186
face_328_209_128.png,241,71,58,253,239,229
face_351_251_95.png,224,66,27,252,244,222
face_225_155_130.png,150,50,80,252,240,180
face_228_349_35.png,174,45,71,252,231,176
face_626_277_65.png,151,45,58,240,219,190
face_250_341_17.png,162,44,86,253,229,201
face_253_221_37.png,78,76,93,253,250,204
face_1155_549_30.png,252,133,165,253,248,229
face_330_132_144.png,196,27,52,251,233,172
face_113_227_39.png,152,34,76,253,247,204
face_419_237_13.png,32,14,12,252,252,215
face_311_353_151.png,135,41,86,253,250,198
face_360_265_44.png,247,58,92,253,250,186
face_270_270_14.png,174,38,72,253,202,181
face_522_199_72.png,130,28,61,252,232,186
face_358_89_68.png,142,24,13,229,57,84
face_303_303_124.png,20,18,9,229,160,109
face_160_176_60.png,249,63,106,253,233,204
face_303_290_73.png,44,41,41,253,245,193
