file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_189_341_56.png,229,157,44,245,204,152
face_196_261_60.png,253,252,190,252,244,236
face_207_173_127.png,228,153,104,253,239,230
face_289_204_136.png,196,165,88,240,210,189
face_373_124_157.png,106,79,99,252,246,239
face_448_461_148.png,252,248,217,249,210,173
face_144_192_78.png,142,165,129,200,213,177
face_250_272_138.png,238,218,135,243,229,208
face_359_183_58.png,67,31,41,253,245,238
face_537_298_26.png,101,80,92,253,227,203
face_435_277_41.png,73,50,49,251,219,198
face_1075_179_158.png,214,172,117,253,247,222
face_398_199_110.png,111,84,94,251,203,194
face_509_313_31.png,244,190,89,252,250,237
face_108_289_130.png,238,234,115,247,225,202
face_190_218_120.png,240,231,133,253,254,251
face_442_110_35.png,213,131,68,252,242,222
face_228_622_75.png,74,48,44,247,203,176
face_363_121_143.png,193,148,123,253,252,245
face_98_196_43.png,215,135,115,251,237,223
face_311_130_102.png,240,197,93,252,241,229
face_325_156_141.png,209,119,103,253,251,252
face_363_204_22.png,252,249,194,250,201,206
face_204_204_4.png,233,178,96,252,252,244
face_186_249_5.png,215,144,104,253,253,216
face_1108_518_36.png,112,89,125,246,203,204
face_160_377_92.png,239,203,98,249,246,217
face_989_422_66.png,234,184,86,228,183,125
face_186_186_40.png,190,178,198,245,228,193
face_322_284_147.png,211,192,156,252,249,237
face_704_336_113.png,148,104,77,252,250,246
face_65_422_49.png,235,212,136,248,247,249
face_261_261_90.png,222,180,129,253,242,234
face_535_183_132.png,205,147,129,246,214,176
face_214_143_121.png,217,188,160,252,224,194
face_186_207_17.png,208,155,150,247,232,205
face_773_295_57.png,253,249,165,253,243,213
face_246_151_62.png,53,45,67,252,251,245
face_398_298_27.png,235,182,109,251,238,226
face_452_180_34.png,128,105,78,240,227,213
face_375_130_139.png,14,4,5,244,208,184
face_325_337_59.png,180,121,68,251,234,209
face_183_266_42.png,202,192,221,252,245,231
face_272_482_96.png,221,168,114,250,238,228
face_923_184_151.png,222,170,152,251,253,239
face_427_126_67.png,178,200,109,252,253,218
face_272_601_12.png,179,148,126,238,224,219
face_1021_249_23.png,253,215,145,250,219,197
face_390_158_2.png,238,194,100,252,253,246
face_281_291_3.png,168,149,116,240,227,209
face_253_268_149.png,32,33,32,253,248,234
face_323_249_55.png,253,221,116,247,135,138
face_189_265_45.png,251,238,112,253,252,216
face_543_382_107.png,129,108,76,251,251,210
face_196_294_142.png,251,243,119,252,249,215
face_1004_155_29.png,124,82,40,246,249,232
face_458_268_48.png,234,194,112,251,248,242
face_317_245_50.png,144,81,96,249,236,235
face_458_174_140.png,157,119,89,248,231,201
face_117_235_19.png,252,252,140,252,231,200
face_790_245_25.png,204,195,117,251,237,223
face_160_512_132.png,187,140,89,245,224,173
face_817_163_86.png,111,80,36,249,251,233
face_352_474_116.png,183,150,93,231,196,175
face_260_761_137.png,242,225,132,246,228,199
face_330_220_117.png,86,213,187,239,228,250
face_181_181_152.png,252,223,127,253,231,196
face_289_494_70.png,152,105,82,239,208,172
face_683_261_131.png,23,20,12,251,242,228
face_427_189_38.png,167,121,82,253,238,217
face_189_265_51.png,98,62,29,252,247,229
face_814_242_91.png,180,133,76,240,213,180
face_303_284_153.png,246,212,183,252,251,251
face_220_679_105.png,143,100,88,242,235,217
face_381_277_53.png,248,187,131,252,247,242
face_322_265_124.png,116,117,116,250,240,218
face_64_652_11.png,157,103,32,249,223,176
face_325_337_84.png,173,115,75,251,235,210
face_693_281_54.png,141,99,77,252,243,198
face_90_272_115.png,187,91,151,253,251,252
