file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_474_126_67.png,134,63,80,244,241,236
face_506_110_19.png,145,72,73,253,247,191
face_322_393_13.png,163,81,75,243,213,171
face_409_382_107.png,186,91,76,238,206,189
face_348_205_49.png,55,23,23,247,210,153
face_61_76_98.png,187,152,120,252,252,222
face_415_311_131.png,211,87,60,248,195,179
face_224_124_115.png,164,67,17,252,219,173
face_331_401_44.png,125,103,90,253,246,219
face_166_83_125.png,201,80,23,251,231,200
face_121_433_128.png,194,116,87,252,226,169
face_268_332_157.png,151,65,61,252,237,210
face_501_839_9.png,209,93,60,238,204,190
face_1157_644_152.png,118,57,46,252,207,180
face_110_94_44.png,199,160,130,253,250,220
face_537_173_18.png,179,98,88,252,238,220
face_871_199_129.png,200,105,71,251,222,193
face_463_354_71.png,207,138,119,250,236,193
face_506_144_20.png,142,33,12,252,228,201
face_432_477_27.png,172,117,119,244,199,191
face_117_196_126.png,121,76,60,251,215,196
face_90_643_42.png,199,139,112,252,225,189
face_496_419_92.png,111,61,32,252,236,188
face_580_804_85.png,188,129,93,253,233,215
face_237_110_97.png,139,78,69,251,231,168
face_166_145_73.png,156,91,91,252,238,189
face_977_181_20.png,164,39,0,253,241,193
face_348_126_63.png,206,148,134,243,217,185
face_69_552_22.png,184,122,89,227,205,183
face_806_119_74.png,248,186,156,253,252,232
face_405_290_105.png,190,109,84,250,213,196
face_115_202_40.png,123,54,46,247,222,202
face_505_574_100.png,134,67,72,253,248,225
face_341_250_64.png,174,64,78,251,248,219
face_69_398_62.png,235,120,112,245,233,215
face_211_871_96.png,205,107,65,252,208,184
face_415_311_153.png,209,88,61,249,197,181
face_329_329_102.png,84,61,62,249,231,215
face_60_614_154.png,196,149,127,241,216,194
face_208_113_116.png,94,33,31,248,228,208
face_373_273_145.png,174,86,67,239,190,174
face_531_360_90.png,101,30,36,245,219,210
face_537_173_83.png,238,156,129,252,237,218
face_224_149_39.png,215,90,48,252,219,176
face_245_190_59.png,151,101,70,253,242,233
face_452_442_41.png,138,77,72,252,215,172
face_681_490_140.png,183,98,55,231,195,175
face_218_81_65.png,203,141,100,253,251,210
face_261_228_121.png,130,70,50,253,217,195
face_498_249_124.png,128,74,50,252,212,192
face_405_290_69.png,190,109,83,251,213,197
face_552_100_36.png,155,69,55,251,215,204
face_24_224_55.png,157,61,29,231,159,138
face_386_136_91.png,214,124,72,252,230,198
face_341_412_32.png,117,51,18,250,202,148
face_79_126_57.png,162,62,61,244,248,223
face_363_94_40.png,48,12,8,240,193,165
face_121_550_2.png,133,54,49,252,196,175
face_235_235_113.png,220,162,142,244,231,198
face_381_190_53.png,122,68,36,252,246,200
face_85_214_20.png,124,28,4,251,225,188
face_865_268_94.png,226,112,79,249,225,185
face_145_145_111.png,170,109,57,242,217,202
face_184_540_119.png,191,136,114,250,238,204
face_227_136_84.png,205,131,92,250,246,200
face_1227_527_106.png,170,55,39,242,179,141
face_75_132_23.png,131,81,71,253,246,181
face_313_72_35.png,165,92,96,253,224,180
face_143_572_101.png,178,99,86,251,239,192
face_1184_722_20.png,197,20,3,252,235,202
face_303_151_134.png,105,58,64,245,243,224
face_204_409_104.png,169,109,89,246,225,210
face_454_136_47.png,146,72,38,253,234,209
face_136_113_45.png,152,71,73,252,231,185
face_189_151_141.png,233,129,71,253,232,200
face_245_136_79.png,165,119,81,253,243,231
face_1075_381_147.png,144,93,97,231,198,162
face_321_160_5.png,138,93,60,250,223,187
face_1256_317_46.png,160,102,77,231,167,141
face_274_313_95.png,172,62,32,252,189,139
face_996_199_54.png,159,52,3,251,228,183
face_61_84_139.png,165,136,115,253,244,224
face_1223_150_151.png,130,61,45,252,211,190
face_341_409_148.png,190,73,43,250,218,193
face_619_711_143.png,118,70,51,245,225,185
face_421_397_76.png,159,77,73,233,196,166
face_363_181_52.png,185,57,3,251,227,171
face_354_245_58.png,111,35,44,243,214,206
face_747_249_89.png,181,98,55,247,236,217
face_331_391_3.png,126,95,81,252,253,218
face_427_395_75.png,170,87,46,246,205,173
face_115_101_3.png,167,127,99,252,252,219
face_473_539_33.png,142,79,49,207,161,139
face_260_115_136.png,172,105,72,222,187,166
face_477_290_68.png,176,85,70,252,238,188
face_113_136_1.png,129,61,39,252,215,193
face_864_136_146.png,160,75,25,252,229,205
face_31_806_77.png,213,133,57,245,200,195
