file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_76_55_75.png,227,200,160,244,235,213
face_200_552_49.png,144,116,72,253,222,180
face_588_625_112.png,249,143,92,253,233,201
face_398_138_128.png,159,101,53,248,212,175
face_253_284_147.png,174,130,83,242,219,192
face_206_68_40.png,204,170,107,244,229,193
face_500_318_137.png,227,189,163,251,241,217
face_136_136_148.png,204,162,107,252,231,200
face_859_179_78.png,173,122,79,252,213,179
face_341_159_129.png,187,165,128,253,235,200
face_121_415_109.png,239,202,67,248,244,157
face_297_220_23.png,236,216,170,251,243,219
face_819_108_11.png,208,156,131,252,241,220
face_190_138_16.png,216,191,143,250,241,229
face_195_76_108.png,175,114,58,250,222,191
face_363_159_9.png,211,199,143,238,220,189
face_173_303_154.png,179,113,87,245,207,171
face_168_253_39.png,183,175,137,219,205,173
face_187_101_102.png,201,170,128,250,210,190
face_413_332_131.png,189,157,126,250,240,223
face_849_260_26.png,137,93,44,236,216,182
face_530_96_35.png,127,116,79,242,228,204
face_386_136_99.png,199,159,121,249,219,185
face_301_409_57.png,240,183,140,252,245,193
face_54_354_65.png,215,132,87,253,235,180
face_103_242_60.png,217,168,139,245,247,222
face_228_228_68.png,167,106,52,247,195,140
face_415_145_150.png,203,166,112,252,241,195
face_238_330_130.png,208,165,149,252,243,215
face_316_253_97.png,190,142,100,246,227,207
face_325_96_55.png,122,95,64,207,181,161
face_294_259_7.png,173,113,125,248,228,195
face_170_360_54.png,137,106,60,230,209,180
face_354_109_143.png,220,205,137,252,242,202
face_592_190_2.png,239,203,108,250,241,187
face_268_174_1.png,228,146,132,253,242,208
face_626_132_85.png,187,164,81,253,224,190
face_417_436_30.png,219,163,134,252,237,212
face_171_197_152.png,199,134,113,243,247,219
face_891_132_151.png,179,139,78,253,231,207
face_103_398_88.png,249,193,128,253,248,221
face_300_257_155.png,248,180,141,253,238,210
face_851_166_76.png,187,138,77,253,230,188
face_420_191_82.png,251,236,179,252,253,224
face_313_216_86.png,221,184,158,248,228,195
face_436_151_98.png,190,161,104,249,201,166
face_976_186_4.png,231,183,151,241,238,221
face_779_346_31.png,251,204,97,251,224,177
face_865_298_71.png,198,163,117,248,202,160
face_955_145_101.png,163,123,36,250,226,188
face_277_158_95.png,177,105,42,252,241,177
face_328_89_101.png,214,186,108,252,251,245
face_99_298_82.png,218,208,170,253,254,229
face_300_158_25.png,188,140,114,251,243,224
face_295_113_42.png,237,200,141,247,199,164
face_173_549_156.png,248,164,151,253,230,192
face_583_209_82.png,195,182,131,253,253,222
face_361_288_37.png,163,106,82,244,217,201
face_401_110_84.png,104,61,77,243,178,183
face_901_316_115.png,129,71,61,249,242,231
face_440_638_121.png,243,201,137,242,232,218
face_197_79_6.png,252,246,192,253,254,223
face_224_149_45.png,198,139,94,252,233,204
face_563_433_118.png,119,84,33,239,213,179
face_321_370_93.png,190,136,74,253,252,232
face_341_159_8.png,164,111,65,253,221,183
face_322_286_110.png,240,188,166,248,243,229
face_352_165_21.png,209,172,137,250,227,204
face_359_196_122.png,201,157,84,250,220,191
face_409_181_50.png,155,102,57,234,220,196
face_1005_151_105.png,166,116,72,249,225,187
face_341_113_92.png,166,123,72,252,235,183
face_510_279_36.png,223,177,116,248,222,187
face_332_158_56.png,238,196,164,251,231,204
face_76_221_81.png,243,175,107,250,220,154
face_633_130_11.png,229,186,146,251,241,219
face_887_181_58.png,207,122,68,252,224,189
face_132_132_44.png,210,159,134,245,246,219
face_216_180_153.png,211,155,81,242,194,137
face_171_211_131.png,206,172,139,250,228,207
face_192_108_145.png,181,134,96,249,217,190
face_512_189_140.png,193,172,102,249,242,226
face_261_261_141.png,246,158,130,252,237,203
