file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_268_358_62.png,78,32,24,253,209,164
face_325_108_54.png,72,1,1,253,222,195
face_83_111_82.png,123,51,36,230,173,143
face_130_359_97.png,195,130,121,253,237,224
face_382_118_94.png,149,50,33,251,232,209
face_261_228_102.png,103,43,49,253,212,190
face_482_370_34.png,96,45,17,236,195,132
face_295_113_14.png,72,32,17,246,229,215
face_1141_231_4.png,57,20,17,252,205,170
face_921_124_113.png,69,38,59,245,183,157
face_379_189_12.png,63,37,35,252,226,179
face_322_398_120.png,76,32,37,251,208,170
face_586_251_30.png,63,23,10,240,194,152
face_329_99_30.png,141,71,44,238,195,156
face_190_277_108.png,76,44,22,243,221,163
face_467_155_118.png,47,15,3,242,195,139
face_259_190_37.png,109,49,29,253,221,183
face_198_143_159.png,41,22,12,238,206,152
face_6_89_68.png,95,35,36,252,214,174
face_542_251_127.png,51,23,13,239,196,153
face_321_265_133.png,39,23,35,221,185,161
face_604_114_30.png,63,21,6,237,193,151
face_249_199_112.png,63,19,28,252,199,166
face_640_398_79.png,29,10,25,250,205,187
face_299_409_11.png,130,60,57,248,200,166
face_915_261_146.png,61,44,30,250,220,174
face_457_566_86.png,51,23,20,237,211,155
face_303_216_36.png,54,18,15,250,218,176
face_186_166_129.png,136,79,58,252,219,174
face_298_238_83.png,176,103,89,248,221,208
face_626_289_27.png,69,28,28,252,214,181
face_207_145_55.png,68,11,20,249,204,178
face_186_166_124.png,133,79,61,252,218,174
face_341_284_21.png,77,50,47,244,210,155
face_82_523_122.png,115,62,34,228,190,140
face_311_242_121.png,51,25,17,241,204,157
face_472_140_44.png,55,33,21,238,194,146
face_361_140_28.png,63,11,19,252,208,209
face_294_381_48.png,66,37,25,247,235,207
face_31_411_72.png,106,48,28,253,252,206
face_1002_290_140.png,32,11,8,252,230,166
face_768_207_64.png,60,30,23,251,235,196
face_540_92_3.png,132,82,72,252,244,235
face_726_186_90.png,35,24,26,252,219,175
face_290_207_15.png,58,19,28,243,192,159
face_796_246_119.png,49,30,17,250,223,183
face_228_249_71.png,96,43,38,253,215,155
face_881_505_140.png,59,25,16,252,232,168
face_392_261_18.png,117,51,36,236,215,178
face_451_260_30.png,72,26,11,239,193,155
face_297_198_80.png,66,11,10,245,204,179
face_209_418_58.png,49,14,18,250,231,216
face_321_252_30.png,65,25,13,238,194,154
face_512_260_103.png,85,56,44,240,199,158
face_627_286_135.png,84,58,45,238,218,188
face_221_490_154.png,44,23,14,244,200,167
face_300_158_56.png,70,33,14,242,207,157
face_474_644_147.png,85,38,3,237,224,139
face_322_208_50.png,145,98,49,248,230,162
face_370_349_70.png,57,32,34,248,216,168
face_204_68_52.png,90,58,31,238,213,153
face_184_184_158.png,18,4,5,248,227,204
face_207_207_109.png,58,32,42,253,232,209
face_818_190_148.png,34,5,12,249,211,193
face_581_543_94.png,25,8,1,232,185,133
face_298_174_143.png,174,97,53,246,231,175
face_181_181_63.png,28,20,40,217,192,189
face_176_237_141.png,45,25,14,245,214,167
face_882_359_155.png,76,33,27,250,233,190
face_15_111_85.png,78,15,11,252,213,170
face_264_187_145.png,77,38,33,238,195,153
face_348_300_74.png,63,37,36,235,202,146
face_317_144_96.png,55,21,8,238,192,143
face_473_385_2.png,50,28,9,251,222,172
face_321_244_137.png,39,24,35,224,192,169
face_415_249_120.png,69,24,32,250,212,176
face_204_181_26.png,113,23,30,243,224,192
face_473_495_13.png,41,17,9,239,210,163
face_105_237_151.png,55,26,33,248,227,198
face_422_140_86.png,47,22,16,239,205,168
face_940_196_100.png,150,103,65,249,223,158
face_323_199_73.png,40,21,21,243,204,164
face_578_289_59.png,163,74,58,251,216,180
face_459_107_30.png,68,25,11,239,196,156
face_311_249_68.png,92,41,39,253,213,154
face_124_186_14.png,51,22,11,245,225,207
face_299_409_78.png,131,60,55,249,200,167
face_398_151_144.png,87,45,58,245,209,198
face_207_207_75.png,56,30,40,253,232,209
face_474_265_17.png,41,1,1,253,251,161
face_946_174_136.png,59,20,15,244,217,201
face_490_158_85.png,77,19,11,253,215,155
