file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_1108_237_101.png,214,165,118,250,218,176
face_915_192_40.png,115,53,24,251,200,156
face_869_462_33.png,133,89,46,248,219,186
face_273_174_43.png,110,54,22,233,203,172
face_228_132_149.png,114,55,23,251,246,190
face_531_227_72.png,149,114,61,252,232,185
face_775_189_19.png,139,67,51,252,211,168
face_664_63_112.png,130,94,57,237,200,175
face_580_316_44.png,81,50,33,248,221,199
face_110_110_50.png,120,49,8,251,213,162
face_981_436_23.png,114,79,59,217,201,182
face_272_227_118.png,110,70,48,253,203,165
face_1117_336_32.png,112,93,76,235,213,200
face_747_298_119.png,119,67,26,242,194,143
face_727_253_87.png,133,80,47,253,229,194
face_390_303_41.png,99,77,49,241,189,163
face_1200_131_56.png,166,85,53,253,250,237
face_857_99_131.png,131,89,48,248,220,187
face_183_130_151.png,117,92,50,232,170,149
face_68_318_7.png,130,76,38,252,220,173
face_190_218_115.png,185,103,20,251,239,235
face_1015_388_37.png,161,117,58,253,231,199
face_189_398_86.png,91,42,20,241,235,219
face_455_113_51.png,152,101,21,252,230,174
face_409_156_154.png,154,105,73,223,206,186
face_171_42_106.png,185,94,18,252,227,214
face_190_299_48.png,62,25,5,234,240,204
face_273_149_100.png,90,42,6,253,240,211
face_99_149_84.png,109,29,18,251,252,244
face_473_199_125.png,160,127,119,244,220,195
face_412_412_17.png,138,75,38,250,226,219
face_425_261_46.png,164,138,125,243,216,199
face_272_227_104.png,109,70,47,253,204,167
face_257_128_38.png,166,76,9,252,250,212
face_228_145_98.png,117,68,26,251,220,169
face_68_113_145.png,151,105,65,248,220,188
face_417_550_117.png,83,40,7,241,243,187
face_36_780_4.png,125,73,18,251,226,204
face_915_192_142.png,116,53,24,252,199,154
face_517_423_31.png,128,86,46,246,220,185
face_208_398_95.png,47,26,36,217,188,159
face_237_461_49.png,185,126,89,243,230,197
face_265_132_159.png,141,103,52,253,233,206
face_228_530_69.png,199,133,112,242,199,175
face_327_218_52.png,233,236,246,252,238,234
face_597_273_123.png,130,81,47,253,250,238
face_433_144_57.png,155,84,61,252,244,230
face_68_318_155.png,131,77,39,252,219,171
face_775_189_88.png,123,58,40,247,206,161
face_727_227_2.png,132,67,31,252,215,163
face_989_277_96.png,179,115,93,251,229,197
face_94_360_128.png,158,89,56,248,219,193
face_980_196_39.png,5,1,0,254,240,209
face_398_151_36.png,87,39,11,252,238,233
face_435_356_93.png,125,93,83,241,173,143
face_851_290_56.png,164,91,52,252,241,232
face_290_249_110.png,185,107,37,252,238,232
face_819_373_136.png,75,36,7,253,243,212
face_844_118_135.png,99,76,52,245,221,191
face_375_101_16.png,114,43,59,252,205,192
face_550_227_76.png,75,41,74,253,238,229
face_240_445_20.png,200,103,62,240,215,193
face_454_614_107.png,132,79,17,250,215,163
face_149_99_116.png,167,78,13,252,244,215
face_360_102_3.png,90,57,31,195,171,143
face_209_149_13.png,72,32,7,249,247,196
face_163_245_111.png,168,77,12,252,244,214
face_181_568_129.png,103,64,21,234,197,154
face_409_568_114.png,78,40,7,249,241,159
face_179_119_34.png,126,61,43,253,201,167
face_207_436_60.png,142,86,28,252,242,213
face_144_240_42.png,106,76,16,251,247,218
face_910_224_12.png,115,52,24,250,199,155
face_159_136_78.png,167,85,22,252,226,211
face_759_205_53.png,112,78,40,245,220,176
face_228_83_59.png,151,118,82,249,226,198
face_727_227_91.png,133,67,31,252,214,162
face_1005_170_82.png,134,82,40,245,214,181
face_768_124_1.png,108,59,37,246,222,181
face_136_341_8.png,143,68,33,251,219,180
face_591_477_47.png,154,97,39,249,234,198
face_113_151_45.png,163,121,72,252,245,225
face_822_205_22.png,148,99,44,253,244,227
face_265_341_55.png,133,80,53,252,226,178
face_1002_358_126.png,166,121,60,252,231,199
