file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_107_237_38.png,98,65,52,236,176,127
face_179_143_52.png,13,16,20,233,175,119
face_1000_132_68.png,17,9,14,224,171,135
face_900_173_66.png,78,22,2,251,184,146
face_341_151_129.png,29,11,4,253,227,198
face_363_454_43.png,115,51,44,246,235,232
face_170_246_122.png,29,15,13,247,233,204
face_107_130_149.png,123,77,34,235,220,182
face_1140_229_62.png,31,21,15,250,193,150
face_322_170_9.png,6,4,1,242,169,109
face_506_221_147.png,43,20,19,237,182,135
face_498_249_65.png,20,13,27,239,180,171
face_644_284_78.png,125,91,67,236,197,157
face_173_259_155.png,36,10,22,249,186,131
face_221_205_99.png,27,11,8,246,208,168
face_356_167_49.png,70,59,56,235,221,206
face_74_498_25.png,49,27,19,230,197,175
face_454_159_81.png,31,17,27,252,179,145
face_199_348_109.png,49,40,41,252,233,195
face_448_224_112.png,32,21,29,252,164,123
face_62_608_24.png,79,45,29,238,177,128
face_89_627_26.png,26,13,8,223,203,184
face_864_159_91.png,52,27,36,252,185,138
face_929_170_133.png,36,23,24,251,186,132
face_498_149_7.png,57,39,29,252,229,204
face_588_189_28.png,49,40,33,225,182,147
face_325_132_136.png,41,23,20,248,230,198
face_490_110_93.png,29,13,10,246,228,204
face_323_149_100.png,59,50,35,233,183,143
face_1107_174_141.png,40,22,15,245,184,145
face_970_121_60.png,32,23,18,248,192,148
face_189_436_88.png,51,23,20,226,191,162
face_356_181_154.png,62,50,30,246,235,199
face_361_180_5.png,120,95,65,251,251,240
face_467_259_121.png,34,11,10,252,196,143
face_260_130_103.png,81,65,45,252,222,175
face_228_166_158.png,27,12,9,247,227,198
face_421_84_20.png,42,21,4,252,187,142
face_136_159_90.png,37,19,23,243,181,141
face_131_197_108.png,35,16,15,248,191,131
face_409_382_32.png,101,66,45,240,212,164
face_436_113_48.png,40,29,30,248,228,199
face_963_132_134.png,19,11,18,226,175,142
face_328_179_30.png,46,26,21,253,239,215
face_1140_176_61.png,61,31,34,244,187,145
face_247_165_144.png,60,22,15,229,192,157
face_488_145_73.png,38,17,22,238,176,128
face_359_261_77.png,59,45,47,246,157,124
face_1115_110_41.png,33,18,9,252,190,148
face_227_90_142.png,35,17,2,240,195,132
face_174_149_29.png,41,19,12,243,190,131
face_682_250_15.png,104,42,20,241,192,186
face_454_181_27.png,34,18,24,246,182,131
face_382_316_119.png,97,60,35,251,217,177
face_693_200_153.png,82,41,19,252,212,176
face_356_167_110.png,33,21,29,237,215,194
face_179_322_146.png,13,17,21,235,173,121
face_348_201_3.png,128,32,5,231,208,184
face_506_253_1.png,145,119,80,241,207,138
