file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_136_181_126.png,148,139,163,253,232,205
face_250_136_124.png,158,100,152,253,239,212
face_481_228_83.png,72,65,75,248,217,165
face_542_241_142.png,57,40,53,234,190,148
face_136_204_103.png,61,52,110,252,225,219
face_21_644_93.png,78,55,60,236,187,145
face_520_144_34.png,63,36,53,239,192,145
face_76_857_26.png,33,17,46,229,184,150
face_784_261_30.png,52,49,93,242,239,203
face_94_550_69.png,193,141,183,249,242,215
face_76_650_85.png,68,46,63,246,201,166
face_385_594_94.png,57,35,40,242,196,148
face_84_831_74.png,45,29,47,239,195,152
face_381_136_123.png,74,23,98,252,246,219
face_348_174_149.png,75,44,77,251,222,211
face_747_313_82.png,61,43,80,252,217,181
face_288_144_98.png,140,117,169,237,220,215
face_341_683_26.png,104,81,123,233,189,156
face_91_688_26.png,35,17,48,232,187,154
face_474_246_87.png,26,17,68,228,198,220
face_545_412_39.png,74,40,54,170,115,107
face_251_181_92.png,51,36,54,200,173,132
face_1229_349_157.png,44,39,89,237,215,210
face_253_165_79.png,54,46,102,232,206,192
face_114_191_76.png,57,35,56,235,198,161
face_428_221_61.png,59,44,78,248,215,169
face_531_622_121.png,55,37,63,236,193,153
face_1195_346_128.png,58,35,53,247,198,167
face_110_237_44.png,139,124,168,247,205,181
face_477_207_98.png,44,34,78,238,222,217
face_750_295_119.png,52,41,99,238,219,200
face_220_697_26.png,36,20,51,233,188,158
face_145_166_75.png,53,35,61,252,208,170
face_322_227_108.png,57,39,48,240,212,147
face_311_166_159.png,49,47,84,252,226,180
face_171_329_31.png,66,61,107,238,215,208
face_1182_159_86.png,49,47,83,251,226,180
face_996_249_15.png,37,35,89,241,208,184
face_250_131_140.png,84,78,77,244,209,164
face_331_592_47.png,143,115,141,239,218,205
face_227_246_148.png,57,27,68,253,219,182
face_353_166_131.png,60,35,68,240,210,172
face_231_602_158.png,52,35,40,240,214,178
face_363_181_2.png,39,22,30,179,129,100
face_311_166_1.png,48,47,81,252,227,180
face_527_606_92.png,45,31,49,239,198,149
face_205_616_148.png,61,33,69,252,215,177
face_110_237_152.png,67,68,100,247,205,182
face_264_561_76.png,55,33,50,237,211,159
face_746_179_134.png,144,121,179,243,212,196
face_237_118_147.png,157,146,173,252,222,190
face_346_288_12.png,78,58,68,245,218,178
face_704_319_56.png,59,44,80,252,220,183
face_316_221_51.png,52,50,68,243,232,228
face_747_313_25.png,64,45,84,253,217,183
face_514_184_17.png,92,72,89,252,225,184
face_483_641_24.png,132,110,130,241,207,163
face_189_174_87.png,39,29,42,242,214,179
face_196_228_18.png,57,57,110,252,225,206
face_223_321_47.png,138,109,141,240,211,193
face_747_468_127.png,74,74,137,239,220,211
face_743_311_90.png,65,42,74,252,214,173
face_294_346_137.png,80,43,68,250,216,187
face_348_174_78.png,74,43,78,251,223,211
face_435_620_66.png,49,26,43,240,243,168
face_284_192_9.png,53,14,19,252,224,195
face_250_136_81.png,123,80,132,253,237,219
face_949_303_153.png,53,45,106,247,213,201
face_221_864_26.png,34,18,46,233,188,157
face_298_298_29.png,88,80,103,245,231,205
face_551_306_155.png,52,25,45,238,199,148
face_163_192_49.png,125,109,131,233,201,151
face_206_283_74.png,48,32,54,239,196,153
face_77_77_3.png,196,164,190,249,235,229
face_146_165_113.png,68,50,60,237,205,169
face_323_124_105.png,213,193,221,249,242,192
face_547_199_62.png,66,53,62,235,208,189
