file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_249_124_9.png,193,145,115,252,244,234
face_363_220_155.png,212,150,115,252,214,186
face_512_211_78.png,178,128,84,252,230,211
face_303_170_98.png,185,121,44,239,216,179
face_253_192_154.png,201,141,66,244,225,209
face_303_246_104.png,175,88,44,241,208,176
face_488_105_87.png,172,97,76,227,196,158
face_866_207_126.png,188,70,25,251,209,152
face_265_132_137.png,238,183,25,251,217,202
face_311_311_80.png,185,118,62,252,232,214
face_249_207_85.png,121,67,33,248,233,228
face_273_75_39.png,226,75,37,252,234,204
face_311_166_111.png,133,77,58,251,244,234
face_151_151_123.png,247,221,150,244,243,213
face_505_153_25.png,236,123,49,250,226,212
face_310_234_148.png,237,156,93,253,239,211
face_277_138_156.png,143,88,38,253,223,173
face_303_170_141.png,201,141,47,246,240,233
face_158_79_88.png,140,79,40,243,201,159
face_141_235_27.png,191,118,79,250,224,205
face_765_38_143.png,163,92,37,246,195,148
face_336_237_105.png,230,156,91,251,247,225
face_171_131_125.png,244,205,14,247,223,193
face_379_113_108.png,243,154,72,249,173,143
face_159_545_54.png,240,164,78,250,216,189
face_477_186_48.png,222,155,72,252,250,202
face_872_151_140.png,145,114,100,252,252,207
face_208_94_107.png,192,110,98,253,234,202
face_261_180_33.png,151,97,59,219,200,117
face_473_253_121.png,249,76,12,229,195,158
face_539_77_72.png,243,205,13,247,221,190
face_502_259_19.png,99,51,26,251,249,235
face_77_539_21.png,180,77,47,253,252,227
face_290_415_136.png,209,122,63,252,236,222
face_145_249_18.png,168,127,47,251,240,243
face_463_299_8.png,179,116,50,245,224,207
face_505_619_58.png,107,57,28,247,233,227
face_227_170_62.png,142,92,52,248,215,196
face_391_140_128.png,235,134,63,249,223,162
face_138_207_144.png,167,104,54,247,244,211
face_199_124_158.png,160,84,55,252,217,192
face_295_136_6.png,226,126,66,251,228,223
face_189_208_17.png,218,37,9,251,235,216
face_231_144_138.png,194,124,100,248,249,219
face_299_109_55.png,199,114,51,224,198,182
face_382_197_16.png,240,133,48,252,249,233
face_40_320_148.png,240,152,111,251,245,228
face_121_77_58.png,221,114,28,252,254,239
face_298_74_44.png,165,113,81,239,203,185
face_386_159_12.png,170,111,82,246,234,213
face_834_189_29.png,205,129,49,251,233,210
face_338_281_95.png,209,104,57,252,246,237
face_171_131_103.png,244,206,14,247,223,193
face_163_436_117.png,233,116,47,252,251,240
face_251_120_130.png,240,219,183,250,245,230
face_265_132_94.png,76,82,11,251,244,232
face_245_218_102.png,241,146,79,251,211,194
face_273_124_149.png,130,45,7,244,220,200
face_747_103_92.png,214,143,87,253,241,226
face_128_257_46.png,86,42,40,250,224,202
face_174_293_66.png,186,67,36,236,217,172
face_253_121_77.png,217,103,35,250,246,230
face_160_426_65.png,220,177,117,249,233,200
face_171_131_68.png,243,202,14,247,222,191
face_540_633_148.png,242,161,119,252,250,233
face_1245_37_58.png,117,61,33,243,225,214
face_299_163_57.png,192,101,62,241,238,234
face_108_108_47.png,245,116,14,247,207,179
face_294_155_100.png,250,126,52,250,185,136
face_834_189_52.png,204,129,49,252,233,210
face_270_124_82.png,232,125,68,253,244,201
face_231_200_153.png,115,77,62,252,212,183
face_166_166_51.png,191,112,45,251,186,158
face_173_505_76.png,172,92,45,250,238,233
face_174_158_63.png,201,111,48,249,225,204
face_657_384_110.png,181,122,63,250,227,213
face_1256_482_58.png,208,93,40,243,217,197
face_485_155_43.png,166,104,78,251,229,204
face_270_145_42.png,167,91,45,243,195,146
face_120_156_120.png,179,111,62,245,234,209
