file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_323_149_81.png,87,103,103,253,235,202
face_65_130_31.png,46,55,90,253,254,233
face_303_132_143.png,97,79,72,250,242,230
face_268_110_139.png,29,21,42,245,240,207
face_77_407_123.png,35,19,21,252,244,219
face_482_371_94.png,105,79,82,252,243,226
face_174_411_108.png,96,90,91,235,207,199
face_68_136_148.png,64,49,61,251,237,224
face_156_84_151.png,107,95,93,219,204,185
face_209_132_85.png,23,3,5,252,224,167
face_57_491_23.png,129,94,105,246,216,195
face_549_158_16.png,160,153,152,253,254,252
face_231_43_79.png,32,24,22,250,218,200
face_204_159_72.png,21,4,19,249,244,222
face_57_491_106.png,158,123,114,241,212,188
face_260_231_44.png,46,36,24,252,234,200
face_394_228_140.png,46,29,25,252,226,183
face_1180_84_149.png,135,109,111,238,224,216
face_462_341_20.png,63,38,49,251,223,188
face_506_180_146.png,112,61,48,253,227,208
face_221_140_125.png,18,12,13,252,225,208
face_398_121_52.png,37,30,48,253,251,206
face_92_92_105.png,38,38,37,253,232,193
face_343_85_57.png,96,85,89,254,215,183
face_447_300_77.png,72,52,63,250,191,169
face_712_369_74.png,45,29,41,244,210,177
face_272_181_83.png,28,27,18,250,213,173
face_274_158_35.png,29,21,44,245,248,222
face_436_208_147.png,63,54,44,247,217,171
face_492_190_0.png,103,78,81,253,226,208
face_94_142_2.png,108,82,86,249,220,196
face_277_92_41.png,13,1,4,246,246,192
face_110_110_98.png,79,60,56,251,197,178
face_363_136_127.png,24,12,11,252,217,176
face_132_606_75.png,132,141,147,244,239,223
face_474_277_156.png,28,23,15,251,218,176
face_442_126_66.png,37,31,18,251,218,174
face_189_455_33.png,44,47,47,226,216,194
face_421_301_152.png,68,64,68,226,222,212
face_277_92_21.png,37,9,23,249,242,214
face_341_246_76.png,41,38,24,250,229,205
face_207_207_132.png,48,41,61,253,253,211
face_168_301_58.png,30,29,34,252,234,210
face_514_329_8.png,105,65,87,249,220,197
face_522_90_82.png,72,65,55,251,219,177
face_181_136_150.png,42,45,51,252,211,171
face_454_318_111.png,43,54,77,240,211,203
face_330_247_27.png,110,78,75,248,220,188
face_348_142_133.png,68,63,57,252,244,224
face_1186_94_1.png,14,7,4,250,237,201
face_418_115_46.png,31,23,20,251,208,169
face_221_221_103.png,91,108,108,244,224,197
face_149_298_131.png,161,131,126,253,254,233
face_311_242_117.png,121,109,105,252,236,213
face_132_303_107.png,25,33,39,252,216,181
face_435_65_116.png,24,25,21,250,223,184
face_136_159_129.png,52,59,48,252,236,185
face_522_90_115.png,195,74,52,244,240,201
face_90_477_68.png,131,100,95,239,231,212
face_528_891_32.png,27,45,29,248,211,134
face_545_159_67.png,86,81,65,253,230,189
face_259_190_55.png,54,58,69,253,252,224
face_739_151_136.png,64,49,46,249,240,225
face_242_264_51.png,22,7,23,249,238,204
face_433_202_118.png,37,27,21,241,202,150
face_62_83_50.png,96,84,101,251,230,204
face_220_110_4.png,74,64,59,250,215,184
face_520_101_119.png,58,56,56,251,199,181
face_124_49_15.png,74,76,66,235,204,178
face_373_124_53.png,124,99,124,244,248,223
face_189_151_100.png,240,161,128,251,225,185
face_524_202_123.png,48,32,33,250,242,218
face_227_136_70.png,106,77,86,252,252,231
face_273_298_36.png,56,26,22,247,193,164
face_149_149_19.png,54,53,36,241,240,191
face_294_155_59.png,66,66,54,253,234,207
face_554_121_10.png,158,126,124,253,253,232
face_227_659_87.png,117,69,75,248,216,188
face_54_381_104.png,94,84,87,248,242,228
