file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_272_68_42.png,211,101,119,252,225,201
face_170_94_137.png,147,114,109,213,197,184
face_348_199_9.png,209,127,106,253,198,167
face_237_176_96.png,45,30,31,202,175,153
face_277_329_2.png,112,16,33,234,197,169
face_207_228_114.png,129,51,63,251,244,224
face_1157_417_158.png,179,118,95,237,195,163
face_1066_357_96.png,77,27,37,210,180,155
face_284_151_41.png,161,35,22,254,220,193
face_750_90_135.png,239,88,65,250,248,230
face_40_311_50.png,97,42,63,251,248,236
face_159_159_40.png,114,18,46,249,207,171
face_113_227_149.png,213,160,169,252,231,219
face_452_190_129.png,7,5,7,248,197,174
face_277_311_154.png,9,10,12,233,203,177
face_317_216_87.png,189,31,29,252,242,223
face_261_163_131.png,5,4,1,253,226,197
face_341_113_109.png,241,208,186,235,163,138
face_341_417_17.png,192,132,131,249,204,187
face_197_145_138.png,98,43,55,245,224,215
face_583_66_20.png,134,46,56,244,188,163
face_265_208_68.png,154,4,4,252,207,187
face_130_326_111.png,165,43,39,231,179,149
face_432_90_10.png,28,6,8,223,175,161
face_388_298_56.png,182,73,88,253,237,212
face_144_101_27.png,58,11,7,244,200,161
face_381_271_91.png,28,25,25,219,175,106
face_431_313_142.png,114,39,64,220,193,183
face_189_126_101.png,95,21,41,251,236,228
face_512_208_124.png,36,12,16,243,182,158
face_452_190_79.png,5,2,2,249,195,171
face_132_417_62.png,223,163,138,252,225,210
face_221_268_128.png,195,152,131,240,210,186
face_341_452_52.png,49,14,32,246,193,154
face_455_189_55.png,108,2,49,247,213,180
face_201_419_74.png,253,247,234,251,217,184
face_720_151_30.png,178,130,112,244,215,191
face_454_136_7.png,148,68,90,243,201,173
face_253_174_136.png,169,106,95,233,179,154
face_144_101_60.png,192,105,85,244,200,161
face_228_783_72.png,228,156,142,253,230,198
face_259_207_105.png,128,53,46,247,217,192
face_418_77_59.png,248,247,251,244,211,208
face_381_321_19.png,91,35,49,236,206,189
face_170_341_132.png,106,22,77,233,191,178
face_545_327_112.png,153,47,40,235,196,177
face_356_237_47.png,206,158,141,245,211,199
face_121_242_143.png,226,217,207,223,194,176
face_253_174_71.png,168,105,94,233,177,153
face_313_604_65.png,94,43,41,247,193,162
face_275_506_25.png,183,44,51,253,218,198
face_672_149_102.png,188,114,110,253,248,226
face_202_260_78.png,199,129,101,249,196,153
face_436_166_15.png,156,60,101,252,208,179
face_398_191_82.png,118,32,34,201,190,184
face_155_155_123.png,241,199,165,252,254,240
face_353_62_108.png,143,53,51,243,222,195
face_806_284_155.png,251,183,141,253,253,222
face_196_196_11.png,163,24,20,249,206,187
face_235_274_92.png,186,135,103,233,188,160
face_227_363_110.png,153,37,43,253,219,193
face_432_204_63.png,140,43,37,252,187,132
face_170_246_69.png,236,122,105,252,240,197
face_528_187_24.png,126,36,60,237,208,190
face_398_170_83.png,159,56,48,253,254,253
face_294_228_99.png,76,17,12,239,239,223
face_346_155_113.png,163,35,24,253,219,193
face_99_174_148.png,96,40,39,253,228,210
face_1062_455_152.png,190,126,105,248,202,170
face_159_227_39.png,90,27,47,253,240,213
face_409_118_100.png,190,131,117,242,197,172
face_189_237_32.png,199,122,105,250,193,161
face_149_149_75.png,206,93,93,242,247,226
face_379_455_26.png,162,21,57,248,217,207
face_144_313_6.png,217,160,150,253,220,199
face_381_321_93.png,90,33,47,235,206,189
face_224_249_86.png,189,56,56,232,174,154
face_199_149_37.png,205,45,67,252,209,175
face_672_249_70.png,105,47,62,238,213,197
face_409_159_155.png,252,186,152,253,250,226
face_386_45_18.png,151,65,75,253,225,206
face_145_103_95.png,152,67,67,230,200,184
face_966_322_81.png,162,46,55,253,245,215
face_132_170_64.png,23,37,30,249,244,205
face_124_199_141.png,172,71,92,252,244,231
face_196_261_16.png,112,40,34,239,188,160
face_354_245_104.png,38,18,21,248,222,182
face_322_246_3.png,81,89,90,88,129,139
face_323_298_97.png,111,27,21,250,183,156
face_1159_159_155.png,211,136,103,215,211,206
face_394_166_159.png,144,44,41,250,225,212
face_265_208_21.png,153,4,4,253,208,189
face_346_86_73.png,122,40,47,242,216,194
face_349_108_121.png,118,53,63,245,192,162
face_56_322_155.png,250,169,135,253,253,220
face_245_136_133.png,43,12,29,241,206,188
face_249_199_157.png,89,64,67,243,224,226
face_318_181_134.png,190,81,92,246,216,202
face_433_121_127.png,108,63,56,253,230,201
face_126_237_156.png,118,47,82,239,222,212
face_543_405_29.png,127,59,79,240,189,162
face_132_192_119.png,235,152,139,249,243,232
face_1066_787_107.png,181,68,152,251,234,182
face_159_477_31.png,38,9,27,227,179,157
face_386_250_38.png,147,69,76,253,229,207
face_316_174_44.png,175,65,46,253,225,202
face_550_293_58.png,245,163,147,253,248,217
face_180_602_84.png,207,40,45,250,212,158
face_124_398_4.png,20,10,22,245,222,189
face_337_433_61.png,194,129,112,251,193,165
face_325_120_106.png,155,69,76,242,210,189
face_270_394_43.png,199,142,125,233,200,172
face_124_199_36.png,177,53,81,253,254,251
face_824_371_66.png,249,183,160,252,208,199
face_674_228_35.png,145,52,84,253,253,223
