file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_373_149_74.png,228,188,118,244,229,198
face_672_158_12.png,183,140,119,253,234,214
face_573_922_50.png,249,235,183,252,246,226
face_980_110_134.png,149,108,65,253,254,235
face_990_231_36.png,217,201,203,249,246,238
face_519_335_18.png,165,135,99,252,227,206
face_881_231_72.png,234,197,133,250,240,227
face_887_159_155.png,232,190,129,251,234,212
face_682_652_89.png,238,214,167,252,235,214
face_601_171_148.png,225,222,137,253,240,202
face_390_390_152.png,224,198,152,253,247,224
face_750_363_11.png,238,186,119,251,237,213
face_303_79_143.png,224,188,142,251,235,208
face_884_200_106.png,176,151,125,253,253,234
face_935_275_110.png,123,103,83,240,221,206
face_449_165_46.png,192,185,114,252,253,237
face_99_594_95.png,216,192,159,247,218,191
face_765_118_15.png,124,71,13,229,190,191
face_426_719_70.png,183,160,116,252,246,226
face_759_300_123.png,182,150,93,252,233,201
face_442_142_25.png,93,61,18,253,242,224
face_982_317_64.png,215,191,136,249,235,209
face_326_130_57.png,142,102,85,252,203,177
face_864_227_59.png,246,223,181,250,244,233
face_977_227_7.png,234,186,123,247,231,190
face_327_109_98.png,231,216,160,252,231,197
face_996_298_118.png,206,169,113,243,213,175
face_103_124_13.png,246,200,141,247,224,199
face_428_53_136.png,246,224,186,252,246,227
face_450_51_77.png,174,127,93,240,189,148
face_114_750_104.png,179,147,125,252,211,191
face_348_224_84.png,167,103,69,253,253,226
face_678_185_92.png,219,198,141,252,235,204
face_189_142_85.png,240,211,153,247,233,207
face_405_377_79.png,226,195,156,241,227,220
face_174_110_87.png,189,83,52,252,236,218
face_1048_84_40.png,224,200,153,248,230,209
face_83_249_10.png,236,176,97,253,227,192
face_409_113_34.png,228,188,116,243,229,198
face_1083_317_5.png,218,190,124,249,231,201
face_332_332_88.png,170,136,113,243,228,207
face_348_237_63.png,244,206,136,252,242,206
face_208_265_111.png,138,100,90,253,242,229
face_293_376_141.png,214,181,107,248,230,192
face_780_606_128.png,166,131,103,242,226,205
face_373_149_51.png,206,164,143,252,227,214
face_295_136_113.png,158,128,92,238,228,188
face_184_250_60.png,218,193,152,246,234,208
face_474_427_22.png,168,103,90,253,233,202
face_935_275_4.png,122,101,80,239,221,206
face_851_415_121.png,202,177,121,253,249,236
face_824_110_130.png,137,98,61,252,235,206
face_341_170_144.png,220,186,141,253,251,226
face_149_238_29.png,191,170,124,253,247,230
face_474_442_90.png,235,185,117,246,219,182
face_996_174_156.png,202,176,147,224,209,195
face_47_110_145.png,177,151,106,252,249,219
face_259_779_8.png,238,195,141,252,227,205
face_705_204_114.png,210,162,112,253,209,170
face_242_207_41.png,209,178,153,249,235,216
face_900_329_28.png,220,180,93,253,232,193
face_66_143_112.png,126,90,18,250,242,161
face_388_149_158.png,198,174,124,251,251,248
face_52_171_16.png,224,175,127,253,221,193
face_49_747_67.png,241,210,100,251,243,204
face_82_761_47.png,215,185,137,236,219,194
face_381_218_107.png,228,197,127,247,227,188
face_986_246_94.png,235,187,123,245,229,188
face_96_325_109.png,195,168,144,252,238,215
face_45_192_151.png,166,110,52,253,228,173
face_103_124_126.png,168,118,68,253,253,236
face_742_91_131.png,224,199,155,248,230,208
face_1027_247_140.png,165,139,128,248,249,242
face_1174_284_81.png,227,194,141,252,235,204
face_990_231_159.png,183,160,156,248,248,242
face_750_363_66.png,239,186,117,252,239,215
face_103_124_124.png,167,117,67,253,254,238
face_114_750_117.png,215,175,127,252,211,189
face_765_303_43.png,240,206,151,252,233,200
face_156_240_153.png,197,168,128,250,221,192
face_1017_103_135.png,185,146,109,253,236,209
face_216_158_39.png,248,192,117,252,210,188
face_454_454_21.png,179,145,111,245,213,183
face_363_189_24.png,162,120,68,253,252,229
face_180_144_142.png,225,175,129,252,220,191
face_204_113_96.png,221,209,159,252,244,233
face_126_126_0.png,228,194,138,245,212,202
face_602_120_133.png,216,203,171,247,234,214
face_180_144_45.png,226,176,128,252,221,192
