file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_459_719_80.png,174,135,90,238,204,165
face_836_328_74.png,229,226,128,248,238,213
face_409_272_38.png,234,133,110,252,239,203
face_1037_247_37.png,166,130,129,250,248,249
face_188_160_134.png,211,137,134,251,231,216
face_0_199_63.png,252,229,121,251,245,220
face_501_263_3.png,212,136,136,240,227,197
face_179_286_74.png,157,153,105,248,236,212
face_535_183_141.png,187,123,113,245,213,175
face_173_363_16.png,195,141,129,252,242,222
face_921_298_2.png,195,134,120,252,242,224
face_375_158_71.png,212,177,151,253,247,216
face_418_187_151.png,252,232,141,250,234,218
face_384_202_110.png,232,172,185,253,251,250
face_373_207_49.png,243,211,145,237,231,201
face_870_171_127.png,244,227,170,249,239,227
face_818_171_152.png,243,179,125,252,241,212
face_204_181_120.png,135,106,72,253,235,200
face_244_275_111.png,138,118,56,248,242,202
face_332_186_19.png,240,140,56,252,244,231
face_284_151_106.png,183,138,139,230,202,192
face_261_294_26.png,176,140,82,238,206,189
face_519_103_105.png,218,188,144,252,225,201
face_54_81_9.png,242,212,163,246,231,213
face_981_245_147.png,36,36,23,252,254,253
face_373_96_64.png,142,109,99,250,234,209
face_204_159_115.png,171,107,112,246,247,215
face_518_192_143.png,224,113,76,252,247,243
face_228_124_44.png,238,166,104,252,244,230
face_99_91_68.png,113,80,55,250,225,200
face_221_474_140.png,247,244,120,251,241,237
face_1134_263_3.png,186,150,130,233,226,216
face_267_206_140.png,243,248,157,251,240,237
face_733_371_78.png,223,150,107,251,209,190
face_273_224_23.png,250,224,156,248,225,209
face_436_249_24.png,181,141,187,251,233,202
face_1040_158_129.png,99,64,83,190,137,139
face_205_257_57.png,251,230,125,248,247,217
face_223_83_155.png,213,192,122,251,241,211
face_163_163_94.png,182,134,108,238,219,199
face_870_105_77.png,252,238,200,253,254,247
face_353_249_92.png,212,122,126,252,239,226
face_569_268_27.png,207,149,88,252,249,240
face_825_121_1.png,249,233,162,247,239,226
face_729_300_123.png,156,108,35,252,215,168
face_274_156_33.png,196,154,117,253,243,217
face_418_404_101.png,198,153,125,253,243,214
face_663_493_70.png,164,125,107,252,250,232
face_298_206_122.png,253,241,150,252,253,248
face_301_184_91.png,212,188,115,251,248,226
face_140_180_122.png,246,183,133,253,254,253
face_289_301_50.png,148,109,122,253,253,253
face_592_130_97.png,151,89,64,253,249,246
face_885_189_135.png,224,223,160,243,206,194
face_946_174_136.png,230,223,163,253,241,223
face_1045_341_113.png,210,107,67,209,134,143
face_74_522_137.png,184,122,98,253,250,244
face_361_180_108.png,95,19,38,251,249,229
face_617_388_121.png,240,210,126,251,246,243
face_776_209_149.png,246,239,186,253,247,240
