file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_330_183_119.png,208,180,214,252,233,237
face_179_298_145.png,214,142,201,252,212,194
face_329_173_96.png,237,176,196,253,249,220
face_268_179_71.png,193,162,189,253,245,250
face_303_197_10.png,156,126,163,252,229,225
face_768_207_34.png,215,165,201,250,243,224
face_353_207_41.png,114,88,101,251,243,226
face_654_272_91.png,203,172,195,253,254,254
face_588_196_49.png,148,51,48,251,235,213
face_90_712_153.png,173,160,188,252,245,217
face_180_469_36.png,144,112,181,248,233,208
face_768_207_109.png,212,161,198,250,243,224
face_181_181_67.png,161,145,179,251,244,236
face_505_187_107.png,214,173,153,240,237,225
face_549_173_42.png,181,89,154,252,227,220
face_1155_418_28.png,163,158,205,252,246,217
face_264_462_134.png,233,171,130,252,244,227
face_519_228_5.png,136,113,196,252,232,177
face_207_145_75.png,204,145,162,247,226,202
face_490_189_58.png,210,192,220,248,226,209
face_440_627_63.png,217,173,204,252,224,216
face_429_88_14.png,198,180,207,247,236,227
face_363_227_139.png,250,219,212,250,234,184
face_94_170_9.png,211,163,186,252,242,225
face_113_159_74.png,181,146,210,253,221,197
face_143_214_28.png,163,155,206,253,248,222
face_659_211_2.png,124,94,112,252,243,232
face_887_272_23.png,215,170,210,253,245,235
face_327_136_31.png,153,90,152,249,246,215
face_489_275_143.png,235,160,183,247,215,195
face_818_163_8.png,251,183,219,251,233,208
face_159_113_45.png,205,175,207,253,232,207
face_318_181_85.png,224,161,244,252,231,230
face_190_518_4.png,170,132,183,253,234,202
face_601_158_112.png,96,50,79,252,223,198
face_253_268_60.png,141,110,118,251,235,214
face_771_313_29.png,157,125,155,252,238,228
face_396_75_77.png,164,147,168,251,230,179
face_294_155_51.png,190,215,235,244,240,231
face_293_128_54.png,216,192,208,252,248,241
face_216_303_61.png,78,67,85,243,222,198
face_225_259_65.png,171,135,155,241,210,191
face_231_260_123.png,193,163,201,253,232,215
face_929_246_124.png,183,174,213,249,232,199
face_454_250_110.png,135,198,232,248,222,216
face_374_231_73.png,191,226,245,250,244,229
face_268_217_6.png,114,72,114,252,238,235
face_886_384_111.png,97,90,153,250,242,200
face_431_633_128.png,218,166,217,253,253,243
face_458_189_155.png,244,168,127,251,246,215
face_327_218_100.png,220,162,241,252,242,213
face_332_174_69.png,233,142,238,252,234,239
face_675_190_33.png,197,104,145,252,225,222
face_692_314_140.png,183,123,166,252,192,165
face_640_294_102.png,183,142,234,253,217,149
face_768_207_130.png,197,142,189,249,241,223
face_1022_173_38.png,206,199,231,246,238,214
face_768_251_78.png,121,93,108,252,223,210
face_124_174_39.png,190,149,177,244,206,205
face_1091_204_127.png,153,80,111,253,252,252
face_284_237_152.png,70,49,66,236,213,186
face_132_246_19.png,210,166,206,252,253,235
face_543_298_83.png,192,163,198,252,220,199
face_686_542_129.png,131,85,118,252,244,238
face_857_395_151.png,208,158,196,252,249,233
face_436_260_138.png,149,157,191,251,241,238
face_277_237_149.png,165,138,188,242,196,173
face_59_656_11.png,229,213,247,247,220,195
face_816_422_148.png,202,189,211,252,239,217
face_1100_151_21.png,197,184,191,251,250,227
face_126_711_95.png,191,203,229,249,216,174
face_501_431_68.png,184,120,158,252,227,218
face_394_110_55.png,213,194,232,252,247,225
face_124_228_90.png,186,151,203,248,227,169
face_301_192_104.png,161,152,193,244,223,199
face_1227_197_13.png,208,164,232,252,234,176
face_817_392_59.png,143,113,189,253,250,225
face_192_201_7.png,171,40,5,205,209,214
face_542_130_77.png,196,190,211,250,230,182
face_1046_181_48.png,166,156,198,253,243,226
face_1047_117_118.png,238,223,212,243,248,248
face_436_103_132.png,132,55,72,253,232,218
face_848_329_142.png,190,164,179,252,249,240
face_929_208_122.png,35,18,28,252,209,185
face_190_180_12.png,217,196,214,251,239,227
face_550_227_76.png,195,154,206,249,238,222
face_214_257_0.png,210,189,211,253,233,223
face_644_208_121.png,77,68,100,251,244,230
face_318_181_26.png,182,163,211,252,250,231
face_260_216_84.png,170,125,123,252,230,186
face_48_795_66.png,200,208,231,252,237,214
face_227_204_141.png,186,108,156,245,218,211
face_395_205_98.png,128,53,84,246,243,223
face_981_245_50.png,182,137,176,254,238,241
face_474_268_46.png,173,160,196,246,239,222
