file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_494_100_156.png,220,155,155,251,227,209
face_110_781_16.png,195,140,145,251,223,224
face_189_585_8.png,47,22,10,253,230,216
face_1157_132_146.png,243,177,204,249,214,231
face_341_56_133.png,229,155,161,247,205,211
face_425_294_68.png,240,190,194,248,220,215
face_286_179_73.png,238,183,190,246,216,213
face_272_109_76.png,21,3,4,247,227,230
face_775_253_14.png,197,148,136,252,230,205
face_379_126_26.png,223,142,161,239,214,217
face_417_113_80.png,250,153,181,248,208,224
face_184_448_159.png,141,104,101,252,225,219
face_174_597_154.png,2,2,3,252,221,214
face_379_246_116.png,236,186,198,242,222,227
face_376_789_92.png,127,72,79,251,217,216
face_312_810_25.png,183,147,154,232,216,224
face_65_92_38.png,235,160,182,251,235,220
face_381_190_99.png,178,97,88,244,226,214
face_373_498_44.png,187,115,120,238,198,202
face_418_328_106.png,246,196,204,247,231,229
face_705_227_109.png,252,201,206,252,241,230
face_341_440_7.png,202,151,152,252,236,231
face_170_493_112.png,236,180,194,242,214,217
face_696_443_118.png,239,191,209,248,243,249
face_1095_423_108.png,236,184,198,247,219,222
face_68_159_37.png,218,119,141,252,226,199
face_1213_341_85.png,227,150,156,237,223,225
face_62_498_53.png,237,185,204,242,218,225
face_1079_457_128.png,213,173,167,226,218,219
face_265_151_88.png,248,180,180,251,217,201
face_120_783_52.png,162,122,123,252,223,220
face_49_74_122.png,240,94,138,251,206,196
face_103_332_78.png,233,151,159,246,211,216
face_207_138_139.png,204,92,103,240,229,221
face_110_442_125.png,180,99,99,240,225,215
face_149_149_123.png,244,166,181,248,232,233
face_908_440_18.png,225,169,159,241,210,196
face_301_200_30.png,234,145,164,242,232,236
face_341_68_49.png,180,110,107,227,218,211
face_810_124_54.png,233,191,211,237,230,200
face_1054_202_18.png,190,107,106,242,217,200
face_361_96_136.png,211,158,154,252,220,212
face_204_204_48.png,198,134,144,250,203,183
face_964_321_35.png,240,179,190,243,214,218
face_136_599_114.png,5,2,3,240,200,197
face_1170_199_12.png,233,116,140,242,210,216
face_344_122_4.png,216,139,185,235,234,180
face_908_440_87.png,225,169,160,240,209,194
face_481_265_91.png,240,189,207,242,224,233
face_493_531_70.png,178,121,126,243,198,201
face_83_301_107.png,242,223,225,236,199,203
face_218_218_47.png,233,137,164,248,235,239
face_930_322_93.png,246,174,191,252,232,203
face_204_227_158.png,231,131,137,242,218,197
face_75_132_148.png,143,97,100,243,215,216
face_281_824_46.png,238,138,166,246,204,197
face_601_171_134.png,186,74,70,237,217,203
face_1059_290_75.png,203,151,157,250,224,218
face_332_166_82.png,207,166,165,253,240,209
face_415_69_10.png,213,144,157,252,225,221
face_81_599_149.png,233,144,137,252,249,208
face_398_151_0.png,214,150,142,252,235,227
face_160_845_80.png,233,148,155,243,201,219
face_110_63_13.png,252,199,207,246,158,163
face_454_363_57.png,112,68,81,224,200,212
face_865_388_23.png,209,169,164,252,228,226
face_409_204_95.png,100,65,74,231,203,211
face_275_99_22.png,249,140,114,250,173,119
face_113_189_64.png,245,181,185,252,217,210
face_246_227_157.png,212,138,151,251,224,220
face_727_272_27.png,213,135,156,252,225,224
face_432_341_15.png,226,176,179,252,231,231
face_117_627_5.png,207,140,151,245,220,215
face_45_146_96.png,192,153,155,252,236,210
face_155_433_80.png,247,148,173,247,204,223
face_658_259_32.png,226,169,155,239,218,204
face_474_94_140.png,233,184,196,237,217,221
face_359_98_46.png,246,169,189,248,212,219
face_398_174_21.png,238,144,158,251,233,231
face_902_319_9.png,181,149,142,248,228,211
face_353_664_2.png,191,135,144,252,238,236
face_341_569_94.png,223,170,154,238,224,213
face_75_132_79.png,241,184,197,244,216,217
face_352_431_97.png,237,167,175,239,202,200
face_752_65_155.png,159,42,31,248,237,227
face_1123_126_81.png,232,192,208,233,218,225
face_359_98_77.png,233,171,186,240,209,217
face_921_174_135.png,229,192,188,247,243,212
face_0_360_153.png,245,156,141,253,252,251
face_73_504_131.png,196,85,86,248,246,242
face_335_511_55.png,237,170,174,238,204,201
face_100_452_145.png,190,157,164,240,213,222
face_1095_423_137.png,219,160,174,240,221,232
face_765_451_87.png,206,129,132,229,180,175
face_880_391_1.png,242,214,213,213,160,155
face_851_290_39.png,219,152,155,252,233,226
face_765_451_18.png,209,146,145,231,180,175
face_121_165_6.png,234,189,164,247,246,236
face_132_583_126.png,234,176,180,243,211,205
face_290_263_98.png,102,30,31,250,218,197
face_1054_202_87.png,239,179,168,241,216,199
face_495_220_45.png,203,70,103,252,239,209
face_228_261_130.png,252,187,203,251,218,225
face_1123_142_29.png,128,96,92,249,229,224
face_329_155_90.png,249,167,189,251,209,218
face_242_138_83.png,232,188,197,239,223,225
face_126_94_80.png,249,142,171,247,203,222
face_1170_199_31.png,235,115,136,241,211,218
face_96_638_89.png,230,174,158,247,246,242
face_136_136_36.png,185,102,101,238,220,213
face_281_338_142.png,230,158,171,253,233,232
