file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_341_477_44.png,150,101,49,242,227,212
face_284_300_61.png,192,120,45,238,221,204
face_531_83_96.png,113,62,22,238,218,176
face_132_228_157.png,63,41,30,252,228,205
face_329_263_84.png,158,116,76,251,228,210
face_300_94_133.png,148,102,45,243,227,209
face_218_489_49.png,130,74,56,233,203,187
face_923_448_78.png,143,88,62,241,232,227
face_196_163_111.png,140,63,37,252,239,212
face_227_272_54.png,129,85,55,205,161,134
face_531_75_57.png,139,100,51,253,245,234
face_109_190_91.png,141,93,45,253,242,232
face_469_337_73.png,9,6,4,233,207,178
face_381_381_65.png,170,102,68,247,221,205
face_145_375_66.png,144,102,70,244,230,216
face_411_205_25.png,138,97,58,244,231,214
face_284_158_134.png,124,75,34,235,218,193
face_698_168_19.png,65,45,25,236,224,198
face_80_281_31.png,79,50,15,225,191,153
face_121_433_11.png,65,42,18,253,222,206
face_90_136_87.png,111,58,24,253,232,201
face_900_450_156.png,137,85,49,244,220,200
face_170_132_129.png,136,102,52,252,242,228
face_646_79_69.png,82,50,15,247,230,194
face_900_346_6.png,157,104,52,236,219,208
face_270_124_144.png,133,98,53,252,243,231
face_396_407_99.png,192,129,62,242,226,208
face_78_196_139.png,95,57,12,230,205,172
face_1033_398_95.png,83,74,61,238,223,210
face_190_155_148.png,174,128,75,240,228,216
face_977_159_124.png,165,106,69,253,240,221
face_489_250_16.png,99,55,32,220,191,166
face_699_244_10.png,25,5,7,251,239,211
face_272_250_67.png,129,92,44,253,244,233
face_265_113_17.png,145,109,56,253,246,233
face_308_66_114.png,129,99,62,230,217,200
face_332_260_130.png,159,117,77,251,228,209
face_457_265_86.png,157,104,49,244,230,210
face_272_489_136.png,112,82,19,233,207,166
face_952_155_155.png,144,95,42,238,214,192
face_1062_208_100.png,36,6,3,252,188,170
face_272_113_13.png,128,96,54,247,209,187
face_493_379_57.png,154,112,56,253,244,233
face_124_149_158.png,197,142,91,251,238,209
face_662_180_126.png,81,60,44,236,213,200
face_883_190_154.png,34,26,23,253,242,219
face_159_113_72.png,156,116,58,253,246,233
face_131_131_122.png,128,91,54,252,226,207
face_143_111_4.png,122,57,14,229,214,184
face_118_244_121.png,137,97,69,243,227,217
face_192_289_64.png,156,106,61,249,224,194
face_358_143_21.png,52,43,23,245,227,192
face_319_198_59.png,101,61,19,231,211,186
face_977_204_68.png,35,28,23,236,216,206
face_715_286_79.png,69,56,43,243,205,172
face_381_381_108.png,124,74,55,248,222,204
face_712_92_52.png,96,54,23,234,202,171
face_392_653_62.png,125,88,47,235,214,190
face_181_461_27.png,192,158,134,226,199,174
face_357_137_30.png,196,118,28,242,202,123
face_249_99_29.png,194,131,83,252,246,195
face_275_176_143.png,139,80,53,228,203,191
face_664_221_22.png,112,86,51,210,207,184
face_186_145_14.png,155,116,77,252,241,224
face_493_379_118.png,227,173,104,253,245,234
face_298_174_92.png,106,76,38,239,212,180
face_844_105_33.png,129,88,41,237,221,204
face_458_395_45.png,14,16,14,229,213,193
face_537_158_116.png,140,82,68,250,223,201
face_846_235_32.png,123,91,54,250,225,187
face_272_45_43.png,91,60,36,233,190,157
face_344_413_60.png,145,102,60,237,219,206
face_272_136_89.png,108,74,67,249,224,185
face_502_241_7.png,138,96,50,236,215,196
face_145_228_127.png,107,87,24,234,212,163
face_346_207_120.png,187,124,74,245,229,212
face_341_417_132.png,201,130,63,237,220,205
face_323_149_32.png,124,91,55,249,225,187
face_126_63_58.png,139,101,57,251,224,206
face_165_458_15.png,90,72,51,236,219,204
face_967_151_152.png,174,138,62,245,237,223
face_418_121_60.png,145,103,67,240,223,210
face_682_132_34.png,124,84,44,229,212,192
face_321_90_141.png,119,90,50,234,216,202
face_796_512_12.png,135,94,51,236,224,212
face_171_214_20.png,109,69,31,241,212,165
face_121_103_159.png,131,101,66,229,218,199
face_554_171_51.png,154,105,45,239,231,212
face_804_131_53.png,179,130,146,252,218,196
face_313_192_56.png,106,59,11,234,206,172
face_99_99_84.png,180,118,105,231,184,184
face_299_163_63.png,154,111,76,251,213,189
face_180_168_109.png,17,19,4,241,232,218
face_319_351_115.png,156,116,83,232,219,211
face_1042_105_52.png,93,51,21,232,199,171
face_1143_346_149.png,135,95,49,241,227,213
face_99_99_130.png,107,80,58,168,144,129
face_160_452_137.png,76,67,53,238,222,203
face_360_113_38.png,69,26,11,248,216,195
face_522_221_90.png,67,38,9,226,202,172
face_189_265_146.png,192,89,31,247,221,197
face_198_286_93.png,116,70,42,238,213,184
face_531_75_118.png,148,108,57,253,244,233
face_150_211_2.png,191,126,51,239,221,205
face_475_139_16.png,168,110,108,236,197,172
face_113_113_102.png,27,23,43,235,210,190
face_796_500_75.png,155,85,38,241,225,214
face_752_409_138.png,116,68,29,244,216,185
face_976_228_70.png,147,95,42,239,223,209
face_268_142_119.png,170,116,53,236,216,201
face_249_224_105.png,133,99,51,253,243,231
face_270_124_118.png,134,99,54,252,243,231
face_498_522_8.png,160,89,44,238,221,202
face_124_199_117.png,145,111,40,243,230,199
face_558_214_71.png,108,56,26,227,199,168
face_270_124_57.png,127,95,54,252,243,232
face_493_246_82.png,175,115,42,239,223,207
