file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_220_154_5.png,186,183,159,249,249,245
face_884_277_119.png,249,219,86,253,241,214
face_195_671_15.png,198,158,123,253,242,215
face_500_159_40.png,249,239,133,249,238,220
face_303_151_158.png,233,195,73,253,248,235
face_94_284_69.png,127,100,39,251,235,206
face_537_415_90.png,251,225,110,246,244,188
face_398_356_76.png,153,100,71,238,208,126
face_660_88_138.png,252,239,171,250,214,187
face_331_301_124.png,204,119,106,252,244,221
face_156_168_103.png,250,234,150,252,242,236
face_259_259_120.png,197,166,73,248,208,163
face_227_682_153.png,199,109,125,252,229,217
face_94_284_152.png,114,93,35,251,234,205
face_915_96_62.png,178,160,53,250,220,205
face_583_319_92.png,247,184,131,252,249,246
face_154_242_147.png,250,232,133,252,239,217
face_179_286_137.png,195,149,94,253,254,241
face_249_224_148.png,194,77,102,253,245,236
face_528_184_130.png,159,72,10,252,246,186
face_308_539_70.png,245,230,221,253,254,251
face_733_371_73.png,135,66,37,251,208,188
face_770_308_151.png,236,166,78,253,252,234
face_870_189_127.png,244,190,237,253,253,242
face_1086_290_141.png,198,120,105,252,244,220
face_530_168_104.png,112,88,58,253,248,192
face_944_122_57.png,220,142,90,252,232,220
face_622_149_67.png,212,153,104,251,229,215
face_872_275_73.png,235,159,118,253,237,227
face_330_176_28.png,226,192,122,252,183,200
face_386_227_106.png,241,202,163,253,242,216
face_585_427_145.png,130,91,80,247,210,207
face_617_388_110.png,240,209,125,251,247,244
face_303_151_118.png,232,190,62,253,247,233
face_272_190_60.png,163,101,104,208,152,144
face_811_122_117.png,192,144,131,251,237,234
face_474_696_112.png,252,216,112,253,254,231
face_273_224_4.png,176,105,99,253,243,240
face_473_224_154.png,190,131,69,234,199,163
face_1210_110_52.png,244,186,171,252,252,250
face_1200_92_143.png,223,186,153,252,247,230
face_588_294_91.png,235,140,133,253,242,228
face_295_250_27.png,203,121,86,252,249,237
face_621_202_132.png,185,152,83,253,240,221
face_181_204_126.png,56,35,38,252,245,219
face_355_740_146.png,178,140,96,252,231,202
face_323_124_101.png,230,189,8,251,212,172
face_467_190_146.png,190,111,87,252,236,224
face_261_228_8.png,152,144,96,248,236,211
face_221_474_131.png,246,246,128,251,242,239
face_1089_297_33.png,95,61,52,246,207,205
face_442_316_44.png,215,174,155,245,248,241
face_241_100_16.png,190,131,110,245,232,197
face_395_211_149.png,145,91,78,251,238,202
face_474_208_114.png,252,240,161,253,254,253
face_1095_200_146.png,203,129,100,252,238,225
face_418_505_84.png,183,116,103,253,254,252
face_588_208_45.png,252,252,143,253,254,252
face_238_348_19.png,243,184,166,252,253,249
face_373_224_30.png,197,145,125,244,238,237
face_372_106_73.png,171,104,76,251,220,205
face_76_68_131.png,207,194,153,251,242,239
face_633_237_49.png,187,104,45,252,248,242
face_96_168_104.png,114,93,58,253,245,190
