file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_168_688_134.png,219,26,154,252,245,252
face_392_261_77.png,227,150,197,249,243,230
face_151_151_119.png,221,233,242,245,232,208
face_789_228_86.png,213,94,155,253,235,228
face_833_93_150.png,201,139,179,250,246,217
face_373_332_133.png,161,97,108,252,223,196
face_1039_138_116.png,178,112,196,249,235,249
face_277_131_156.png,201,100,136,253,252,251
face_1014_522_14.png,205,99,126,252,194,172
face_137_679_115.png,215,98,115,242,158,144
face_619_740_72.png,250,198,189,252,253,239
face_170_227_46.png,83,31,60,252,236,230
face_107_286_33.png,140,112,149,243,248,244
face_968_429_2.png,246,150,156,253,249,243
face_465_286_142.png,234,150,139,253,245,233
face_949_458_47.png,33,14,3,245,200,153
face_197_250_44.png,10,14,11,249,247,232
face_208_151_15.png,206,186,197,252,252,231
face_131_105_74.png,120,73,102,233,210,163
face_104_880_139.png,230,114,104,252,246,233
face_301_277_98.png,203,152,169,250,246,228
face_325_156_43.png,201,99,188,253,238,230
face_854_189_83.png,137,67,126,239,237,237
face_591_295_121.png,214,147,176,249,237,228
face_477_159_11.png,205,106,169,253,247,224
face_692_328_141.png,236,147,144,250,238,234
face_346_381_107.png,181,112,131,250,193,168
face_381_180_157.png,224,165,212,246,249,251
face_237_475_73.png,72,45,90,252,252,244
face_300_142_68.png,85,50,108,242,224,249
face_171_171_70.png,228,158,187,252,253,247
face_238_302_31.png,237,158,211,252,242,249
face_277_132_34.png,29,116,147,252,241,199
face_482_132_50.png,188,135,165,240,221,215
face_253_264_84.png,185,163,182,251,238,221
face_572_358_101.png,180,151,169,248,235,211
face_100_301_3.png,230,105,139,252,241,236
face_220_209_104.png,166,23,104,252,244,223
face_395_316_109.png,188,214,243,251,245,234
face_300_142_108.png,197,88,144,252,224,220
face_990_297_27.png,200,147,172,245,228,218
face_300_253_63.png,225,131,181,246,216,228
face_932_181_23.png,227,136,144,237,237,200
face_418_286_9.png,195,94,155,242,217,220
face_719_163_69.png,205,154,163,246,215,197
face_132_608_49.png,163,74,129,231,235,215
face_237_145_39.png,236,177,131,244,225,202
face_1081_151_146.png,234,177,176,238,237,200
face_644_227_62.png,244,203,223,253,254,252
face_385_220_140.png,182,142,184,252,236,225
face_505_288_28.png,72,51,96,250,246,237
face_737_368_154.png,229,179,225,253,243,253
face_653_410_88.png,216,130,149,251,221,206
face_819_108_76.png,171,119,150,253,243,232
face_313_145_79.png,209,95,152,252,239,238
face_532_293_71.png,175,124,149,240,223,226
face_284_208_42.png,99,62,87,252,231,210
face_588_363_55.png,191,166,182,248,235,211
face_662_100_124.png,208,163,183,252,243,233
face_265_151_30.png,188,187,220,250,229,219
face_659_250_1.png,209,123,152,243,226,228
face_113_246_56.png,152,168,241,253,250,227
face_585_79_10.png,122,110,115,252,233,195
face_241_221_51.png,34,6,49,245,219,200
