file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_109_599_42.png,79,66,50,231,164,145
face_370_497_66.png,61,61,50,251,244,223
face_866_259_148.png,114,110,99,252,224,203
face_363_136_146.png,66,50,58,250,239,209
face_379_237_61.png,54,58,89,252,237,211
face_512_189_88.png,68,57,47,231,163,147
face_109_218_156.png,210,173,149,229,231,233
face_1210_99_68.png,60,54,60,246,179,154
face_180_80_12.png,43,33,23,251,221,203
face_265_170_23.png,52,50,65,252,242,224
face_560_810_123.png,53,52,65,249,230,203
face_391_793_123.png,43,42,54,252,241,204
face_500_136_55.png,49,50,49,253,230,207
face_303_512_77.png,52,34,26,249,229,181
face_502_80_66.png,12,17,21,252,244,224
face_363_411_40.png,38,37,52,247,195,168
face_130_482_36.png,28,26,43,235,203,176
face_382_303_157.png,72,66,75,252,227,223
face_323_174_44.png,63,64,63,243,225,204
face_375_130_82.png,67,72,91,253,231,214
face_853_417_98.png,44,45,49,251,252,244
face_474_588_53.png,27,24,56,228,232,236
face_346_245_41.png,75,89,104,252,244,224
face_174_174_89.png,59,52,70,253,244,203
face_227_204_19.png,30,30,62,220,199,181
face_432_204_90.png,110,109,120,253,226,204
face_274_303_25.png,22,25,24,235,160,120
face_332_124_17.png,45,48,77,253,243,214
face_113_204_141.png,47,37,82,240,235,228
face_273_224_91.png,53,58,84,244,195,173
face_311_242_114.png,27,17,41,250,183,142
face_149_656_132.png,77,93,108,253,246,229
face_48_313_110.png,59,58,70,211,148,116
face_650_289_123.png,36,36,42,253,230,198
face_332_253_74.png,67,62,70,252,243,233
face_227_318_124.png,40,36,53,247,202,170
face_211_156_51.png,63,63,87,250,234,202
face_363_379_69.png,45,26,34,244,194,154
face_748_154_31.png,53,52,63,221,166,137
face_831_361_158.png,44,50,70,245,246,240
face_300_300_102.png,104,86,102,250,221,186
face_48_313_4.png,57,56,68,211,143,112
face_363_259_95.png,204,163,141,228,231,236
face_183_504_12.png,44,35,24,226,156,133
face_318_318_126.png,17,8,10,252,230,197
face_138_69_15.png,73,66,51,251,220,199
face_363_379_109.png,45,26,34,242,192,151
face_249_199_117.png,47,25,39,240,168,141
face_250_204_3.png,47,55,76,253,250,219
face_794_115_13.png,110,98,114,234,212,199
face_184_131_134.png,20,23,34,252,243,224
face_956_122_130.png,53,51,61,247,216,190
face_242_187_118.png,9,9,21,244,243,182
face_492_80_12.png,45,34,23,251,222,203
face_227_90_159.png,41,34,61,229,231,235
face_332_124_136.png,18,19,33,230,177,147
face_163_228_57.png,103,100,100,251,201,172
face_417_246_1.png,71,65,80,253,225,213
face_301_502_24.png,40,26,33,251,242,208
face_207_83_112.png,7,7,20,249,244,163
face_174_174_11.png,38,31,42,253,246,232
face_159_502_121.png,43,32,51,252,202,178
face_228_186_155.png,34,26,60,228,231,235
face_398_138_75.png,33,30,40,233,146,103
face_227_204_137.png,28,28,59,222,207,191
face_207_207_119.png,35,25,70,241,243,242
face_170_246_14.png,98,94,95,252,226,205
face_322_179_52.png,64,54,69,246,232,195
face_386_591_128.png,35,29,42,237,196,160
face_433_242_142.png,71,73,85,248,220,195
face_237_822_66.png,61,71,90,252,243,223
face_107_465_129.png,99,99,112,233,165,135
face_228_207_147.png,76,51,89,253,247,231
face_313_216_132.png,30,33,45,249,220,197
face_163_98_72.png,57,58,70,251,238,221
face_149_249_97.png,64,77,102,253,243,230
face_74_622_139.png,25,20,33,246,216,204
face_227_204_107.png,38,32,65,225,225,221
face_159_502_105.png,42,31,57,251,202,179
face_281_281_58.png,55,55,61,246,220,192
face_750_227_145.png,33,30,54,253,240,210
face_396_638_157.png,84,76,89,251,233,219
face_318_341_64.png,25,23,25,253,246,227
face_398_149_152.png,39,32,46,252,216,175
face_636_204_140.png,45,45,54,251,228,216
face_190_190_144.png,67,66,88,247,231,212
face_1199_649_157.png,77,32,87,252,238,222
face_109_81_106.png,49,40,77,229,232,237
face_836_363_30.png,43,50,70,245,245,239
face_834_265_79.png,62,52,69,253,238,212
face_381_138_67.png,116,109,103,245,148,124
face_773_136_116.png,33,30,54,253,241,211
face_144_554_66.png,12,15,19,251,246,228
face_142_126_7.png,12,10,18,253,235,207
face_418_537_2.png,70,64,80,253,225,213
face_1028_174_10.png,4,4,3,229,184,184
face_329_381_16.png,47,45,59,223,197,181
face_323_174_92.png,66,54,41,251,226,209
face_284_189_99.png,64,32,63,248,173,154
face_869_363_143.png,42,48,69,245,245,239
face_768_228_60.png,32,29,52,253,240,211
face_160_796_149.png,39,32,48,248,226,203
face_318_318_33.png,18,11,12,252,230,197
face_143_572_28.png,54,33,36,253,249,219
face_174_74_93.png,52,41,68,228,231,234
face_318_227_45.png,153,118,135,241,232,216
face_492_502_12.png,50,38,27,250,222,204
face_864_107_96.png,82,78,73,252,232,201
face_398_69_132.png,73,89,104,246,212,189
face_316_277_66.png,60,75,93,253,246,227
