file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_433_104_101.png,231,187,213,253,249,235
face_181_159_67.png,205,161,221,252,245,224
face_360_474_71.png,96,62,125,250,237,203
face_295_363_135.png,125,122,146,233,216,206
face_250_409_100.png,174,117,172,250,206,185
face_462_823_66.png,216,166,202,252,226,201
face_360_151_1.png,167,138,172,253,253,221
face_295_181_85.png,117,29,78,234,206,194
face_319_385_157.png,172,137,191,253,234,215
face_879_168_24.png,165,147,214,253,253,250
face_246_113_150.png,179,150,214,253,229,216
face_189_246_16.png,84,85,159,252,240,232
face_173_606_117.png,176,134,167,253,246,244
face_864_682_154.png,160,88,125,247,186,199
face_869_253_138.png,71,37,74,252,240,230
face_74_224_29.png,195,153,204,249,206,205
face_231_132_129.png,149,67,197,252,241,229
face_159_659_125.png,195,182,242,244,227,216
face_467_155_10.png,108,63,84,252,251,214
face_530_120_44.png,245,184,213,253,252,248
face_211_250_136.png,213,167,225,252,253,240
face_462_433_111.png,187,165,214,253,253,217
face_392_163_64.png,157,138,195,228,227,206
face_417_151_71.png,137,95,147,248,233,199
face_779_433_70.png,73,57,101,253,241,225
face_160_864_96.png,157,113,171,244,241,188
face_76_130_123.png,194,163,219,252,231,233
face_349_144_119.png,139,103,116,247,234,224
face_385_313_18.png,51,23,52,209,187,168
face_159_181_14.png,230,169,215,253,252,211
face_361_291_80.png,191,174,207,249,246,247
face_688_541_88.png,154,115,149,247,245,235
face_343_128_63.png,150,131,160,250,244,225
face_329_294_153.png,181,118,203,251,232,223
face_186_228_108.png,186,130,176,251,249,216
face_409_136_47.png,148,110,153,253,240,209
face_996_249_74.png,118,78,162,249,238,218
face_395_268_6.png,17,3,73,242,228,219
face_99_174_124.png,217,203,231,252,238,211
face_602_349_90.png,198,139,157,252,243,216
face_360_208_97.png,158,115,135,250,160,128
face_359_252_56.png,168,121,171,252,249,250
face_381_163_147.png,186,191,248,249,238,228
face_699_227_12.png,94,84,102,253,253,252
face_156_196_37.png,186,137,169,250,250,218
face_409_204_59.png,84,81,93,253,211,182
face_1078_66_155.png,202,141,182,253,246,217
face_561_319_154.png,126,39,78,252,231,219
face_872_498_61.png,123,59,134,251,229,214
face_1023_227_21.png,236,169,211,250,240,222
face_328_179_2.png,251,218,252,253,244,233
face_332_228_133.png,162,106,199,253,250,187
face_290_228_82.png,166,87,181,253,221,178
face_227_208_49.png,202,115,154,253,209,201
face_158_268_0.png,95,62,114,252,235,218
face_186_249_11.png,192,137,175,249,248,208
face_422_131_91.png,238,190,199,252,253,230
face_363_227_4.png,182,155,210,252,251,216
face_284_265_62.png,46,19,32,253,254,251
face_137_742_107.png,101,96,160,245,234,215
face_128_214_23.png,171,162,221,252,235,236
face_138_207_110.png,136,89,116,253,249,211
face_110_284_148.png,209,176,207,253,241,234
face_398_277_74.png,164,121,190,250,244,227
face_293_110_120.png,139,119,131,142,133,127
face_265_208_126.png,157,100,166,249,236,210
face_143_286_5.png,189,142,201,252,251,231
face_1200_95_53.png,65,14,64,253,239,216
face_1183_266_42.png,229,147,220,253,254,241
face_980_284_141.png,42,21,23,248,238,211
face_250_341_78.png,151,96,148,234,218,204
face_163_294_28.png,195,149,231,252,244,227
face_697_174_45.png,101,94,107,252,252,237
face_807_275_98.png,220,145,157,251,239,205
face_268_209_72.png,148,95,125,252,248,223
face_306_581_134.png,91,63,123,252,239,236
face_864_705_17.png,188,163,199,250,229,206
face_110_99_145.png,122,88,185,250,217,209
face_451_253_40.png,227,118,190,251,243,235
face_417_170_81.png,93,58,85,243,181,155
face_442_316_39.png,207,158,202,236,238,218
face_699_174_142.png,149,102,117,252,253,246
face_844_119_61.png,146,108,157,251,230,216
face_235_329_32.png,206,169,214,253,238,232
face_270_270_94.png,155,88,162,253,254,250
face_346_190_102.png,153,108,172,246,217,219
face_518_190_143.png,110,58,85,252,241,197
face_231_158_149.png,82,48,99,244,175,166
face_381_173_87.png,182,130,176,248,237,216
face_165_440_84.png,149,126,175,253,246,218
