file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_568_113_69.png,235,201,183,253,243,212
face_477_166_9.png,252,209,111,252,234,211
face_895_489_136.png,251,187,142,253,240,226
face_169_664_28.png,195,166,113,251,243,219
face_343_352_136.png,180,147,113,252,234,217
face_69_381_40.png,229,180,115,250,223,184
face_466_355_136.png,234,173,167,251,240,228
face_265_208_131.png,227,218,145,252,247,225
face_433_398_128.png,247,187,94,247,160,156
face_405_908_28.png,152,113,73,252,244,218
face_629_636_136.png,211,152,141,253,238,225
face_417_322_63.png,107,65,25,252,248,231
face_537_142_129.png,252,237,179,193,165,150
face_803_218_136.png,186,149,138,252,237,224
face_405_551_147.png,195,118,98,243,233,205
face_538_216_136.png,251,215,142,251,234,210
face_627_253_107.png,229,179,89,251,249,233
face_775_300_2.png,250,175,15,253,248,242
face_342_307_95.png,204,178,167,243,248,246
face_290_316_36.png,251,244,119,253,253,216
face_168_535_28.png,196,165,124,251,244,222
face_1139_268_124.png,168,91,72,252,244,218
face_538_545_28.png,132,91,57,251,244,221
face_1195_50_111.png,251,208,112,252,227,201
face_201_715_31.png,102,101,121,252,244,237
face_211_468_147.png,170,106,80,242,229,198
face_1160_195_156.png,204,197,130,235,227,185
face_545_915_28.png,210,167,120,251,245,221
face_880_329_2.png,11,9,5,252,248,241
face_49_124_117.png,240,202,125,252,251,236
face_405_543_28.png,191,157,114,251,245,222
face_413_413_28.png,156,115,76,251,243,218
face_199_267_32.png,120,88,63,251,229,194
face_47_221_136.png,226,202,151,253,238,227
face_110_60_22.png,238,213,178,244,246,228
face_442_174_138.png,179,154,139,253,239,239
face_528_405_28.png,171,134,91,252,244,220
face_847_165_114.png,116,75,59,217,189,171
face_436_332_65.png,129,104,60,252,254,241
face_170_181_28.png,186,180,172,250,243,218
face_493_322_51.png,233,188,142,248,237,201
face_325_120_122.png,224,143,54,250,206,157
face_343_171_106.png,233,180,66,248,247,240
face_405_174_28.png,224,189,135,251,244,220
face_854_532_14.png,180,130,74,251,173,155
face_115_375_33.png,87,84,79,252,251,241
face_72_549_145.png,252,229,162,253,226,201
face_167_545_156.png,203,196,127,235,226,185
face_382_237_100.png,216,181,175,253,247,237
face_189_379_152.png,208,163,170,251,249,250
face_290_290_28.png,176,137,96,252,243,218
face_36_412_14.png,132,90,54,252,161,151
face_992_209_136.png,215,144,114,252,225,203
face_173_259_53.png,223,198,115,251,222,197
face_796_719_156.png,206,198,131,236,228,188
face_168_290_28.png,185,144,106,252,243,218
face_60_30_108.png,218,192,125,251,244,233
face_547_781_28.png,217,173,124,250,241,216
face_678_307_123.png,205,183,171,242,245,243
face_1002_179_38.png,195,157,113,251,243,226
face_978_216_133.png,224,184,159,251,237,221
face_48_789_28.png,163,119,80,251,243,218
face_412_293_28.png,149,112,75,251,243,219
face_619_558_14.png,181,120,74,251,192,170
face_720_170_3.png,194,158,84,247,210,188
face_511_226_137.png,80,41,30,252,238,226
face_721_223_136.png,147,125,94,252,231,212
face_1089_209_136.png,234,193,176,252,244,232
face_528_658_28.png,225,176,122,251,243,219
face_241_90_77.png,238,220,131,239,228,200
face_286_167_28.png,202,174,129,251,243,219
face_846_224_93.png,221,166,89,253,246,234
face_472_623_44.png,165,57,1,218,99,42
face_545_629_136.png,199,149,137,252,240,227
face_474_208_151.png,220,181,55,252,241,223
face_38_293_28.png,214,171,124,252,243,219
face_721_631_136.png,216,172,165,253,238,226
face_45_658_28.png,219,190,139,251,245,221
face_167_782_28.png,170,137,96,252,244,220
face_987_190_42.png,106,105,36,250,230,180
face_118_448_150.png,252,252,131,252,253,220
face_181_204_97.png,252,252,125,253,252,219
face_48_174_28.png,157,119,79,251,243,219
face_725_211_20.png,232,169,43,241,202,175
face_409_481_68.png,242,156,36,251,228,202
face_617_388_120.png,240,210,126,252,246,244
face_231_522_47.png,209,171,160,252,238,238
face_286_538_28.png,162,125,85,251,243,219
face_84_96_148.png,177,122,78,252,247,234
face_467_190_149.png,187,110,86,252,232,221
face_530_297_28.png,187,151,109,251,244,221
face_895_352_136.png,193,149,127,252,242,228
face_261_633_136.png,212,167,134,252,246,225
face_981_81_6.png,226,176,134,236,203,217
face_90_68_7.png,242,193,67,246,188,147
face_298_268_4.png,195,156,79,238,198,149
face_413_792_28.png,153,116,81,252,245,223
face_543_352_136.png,238,171,163,252,241,228
face_286_99_139.png,193,151,75,252,243,230
face_1160_195_54.png,205,197,130,235,227,183
face_155_190_144.png,146,109,82,244,227,199
face_573_188_18.png,161,152,140,253,253,252
face_167_545_54.png,204,197,128,236,227,187
face_568_159_101.png,166,140,91,254,248,237
face_238_89_23.png,206,189,175,222,205,190
face_523_201_90.png,203,155,99,251,244,219
face_542_351_125.png,135,71,32,251,196,123
face_578_253_72.png,247,222,148,245,228,208
face_398_170_127.png,252,209,119,249,231,196
face_167_419_28.png,229,196,143,251,243,218
face_293_412_28.png,237,200,143,251,243,220
face_737_275_46.png,246,222,147,245,228,206
face_704_418_108.png,247,233,134,253,247,229
face_414_670_28.png,130,87,54,251,244,220
face_55_545_28.png,170,127,88,251,244,220
