file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_821_124_67.png,173,89,90,217,195,186
face_921_149_158.png,228,211,180,233,203,201
face_341_190_23.png,196,136,133,253,240,215
face_448_290_29.png,162,89,100,217,187,188
face_474_174_106.png,164,97,100,221,192,180
face_870_142_81.png,191,135,130,234,208,193
face_250_113_78.png,218,126,117,249,226,210
face_322_246_5.png,238,148,106,252,203,153
face_158_284_124.png,243,185,145,252,247,227
face_415_173_8.png,235,120,114,221,173,139
face_456_186_69.png,172,146,100,217,206,204
face_409_109_15.png,209,102,101,252,239,218
face_170_170_135.png,226,149,158,247,242,245
face_932_272_147.png,249,202,171,253,241,225
face_506_165_85.png,249,199,118,252,220,200
face_409_109_83.png,204,109,109,253,239,218
face_398_173_28.png,219,144,135,248,237,207
face_967_151_58.png,199,93,87,237,211,204
face_457_228_19.png,191,86,75,251,215,197
face_61_642_33.png,165,106,108,237,214,207
face_311_121_43.png,210,116,82,245,209,142
face_913_249_37.png,200,86,91,252,205,194
face_436_490_12.png,130,82,81,229,193,190
face_624_137_107.png,167,110,108,253,224,205
face_323_149_38.png,183,132,119,249,217,207
face_569_189_140.png,195,145,136,250,227,198
face_79_126_63.png,232,123,98,247,242,230
face_398_455_26.png,164,71,67,228,197,192
face_295_204_24.png,192,103,103,233,194,186
face_113_136_149.png,169,95,93,239,211,198
face_113_94_116.png,188,87,87,236,195,186
face_224_105_32.png,185,87,95,252,207,182
face_163_163_35.png,171,75,75,231,195,183
face_250_227_138.png,205,95,133,253,247,220
face_385_352_89.png,196,133,136,240,209,191
face_90_633_134.png,184,110,107,236,214,201
face_673_153_94.png,178,123,117,214,194,183
face_228_249_95.png,213,106,112,243,174,138
face_939_156_148.png,230,150,139,238,197,188
face_49_149_122.png,232,208,166,234,210,203
face_207_173_49.png,231,157,141,246,235,222
face_274_101_2.png,244,168,144,252,218,179
face_224_249_127.png,252,216,180,253,241,225
face_411_174_108.png,226,131,157,251,232,197
face_335_100_104.png,195,196,195,245,246,246
face_566_290_107.png,203,119,122,252,223,204
face_704_214_79.png,234,150,138,253,239,228
face_955_103_119.png,199,163,153,234,206,192
face_623_124_77.png,194,96,121,208,163,166
face_939_156_17.png,245,134,136,253,209,203
face_265_170_52.png,227,220,198,249,254,249
face_1123_126_121.png,130,78,82,221,196,194
face_981_477_84.png,118,91,92,207,195,195
face_903_96_131.png,237,203,181,252,230,206
face_113_417_128.png,248,137,126,244,212,157
face_227_409_120.png,240,218,174,245,235,215
face_980_196_157.png,240,150,148,249,240,223
face_174_348_142.png,180,118,102,251,222,210
face_259_103_70.png,237,155,113,247,245,212
face_167_301_36.png,203,104,157,245,208,210
face_260_130_103.png,199,128,92,252,237,201
face_94_94_151.png,235,173,159,247,224,201
face_224_249_137.png,246,197,175,253,254,236
face_442_300_3.png,184,112,115,252,223,204
face_398_149_100.png,222,146,105,253,249,212
face_921_249_46.png,249,216,186,253,254,238
face_1107_284_60.png,148,96,96,216,200,189
face_308_143_112.png,199,123,69,230,201,173
face_562_291_6.png,215,175,144,253,230,200
face_208_227_150.png,177,86,97,245,210,178
face_207_138_57.png,166,59,75,232,204,204
face_329_277_88.png,128,88,85,253,214,193
face_339_146_1.png,238,215,116,240,213,181
face_381_121_40.png,179,102,107,234,206,202
face_322_113_10.png,227,127,108,251,219,170
face_348_423_93.png,172,98,108,223,194,189
face_569_189_30.png,218,163,152,250,227,199
face_284_132_48.png,219,184,129,226,192,182
face_207_83_47.png,233,114,83,246,248,224
face_343_92_125.png,181,113,100,252,199,181
face_1199_202_27.png,149,80,78,231,212,209
