file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_768_145_151.png,67,25,23,241,186,141
face_1289_337_120.png,56,13,18,243,187,108
face_363_181_138.png,29,21,14,239,198,141
face_567_567_93.png,125,95,78,252,225,174
face_65_567_93.png,126,95,78,251,222,172
face_353_332_158.png,19,18,14,215,171,122
face_1039_259_22.png,71,53,53,235,199,171
face_502_814_111.png,32,20,14,243,180,122
face_554_265_50.png,23,11,8,201,135,65
face_45_181_66.png,94,42,43,250,236,192
face_361_251_46.png,82,51,35,252,213,163
face_484_110_55.png,112,89,87,240,221,192
face_113_204_70.png,53,25,20,232,176,100
face_209_220_114.png,79,52,37,239,178,110
face_131_738_154.png,46,35,21,245,200,136
face_897_184_1.png,70,63,72,237,212,206
face_605_66_8.png,123,62,23,252,188,131
face_96_265_139.png,64,44,44,249,228,175
face_36_566_115.png,51,46,10,220,195,94
face_386_113_108.png,168,103,88,201,181,119
face_967_189_124.png,65,37,29,240,186,137
face_326_145_107.png,65,46,42,232,202,164
face_240_180_87.png,71,25,26,252,200,142
face_174_149_2.png,101,73,62,254,249,227
face_255_389_82.png,41,25,16,220,170,100
face_66_66_8.png,95,74,77,252,204,165
face_554_224_24.png,89,64,62,251,231,212
face_346_433_53.png,56,26,20,244,190,117
face_231_187_6.png,28,21,25,247,165,102
face_214_214_31.png,51,27,43,235,179,140
face_482_291_132.png,74,48,39,253,204,159
face_534_303_72.png,34,30,9,252,248,194
face_115_679_5.png,99,84,25,232,219,22
face_429_214_74.png,21,7,19,253,203,150
face_238_119_83.png,38,8,2,253,232,190
face_113_90_140.png,99,68,61,232,194,161
face_143_242_142.png,73,29,49,248,191,152
face_295_159_65.png,50,36,32,231,194,150
face_83_712_38.png,68,44,58,229,204,172
face_136_136_150.png,148,73,43,253,238,214
face_198_605_8.png,67,32,24,251,179,127
face_620_237_19.png,196,143,135,236,221,188
face_143_242_112.png,69,32,53,248,190,150
face_180_723_34.png,244,243,139,242,198,137
face_1038_214_32.png,100,55,37,246,200,150
face_220_66_28.png,216,136,86,245,224,166
face_915_130_56.png,0,0,0,251,196,58
face_909_68_126.png,71,52,40,243,194,132
face_173_485_147.png,176,121,90,250,196,132
face_180_723_89.png,60,46,11,241,199,138
face_149_448_95.png,58,31,40,252,187,122
face_385_578_27.png,72,67,61,230,201,165
face_538_146_15.png,30,3,0,251,216,165
face_168_72_37.png,99,74,69,251,242,207
face_642_541_117.png,68,46,36,252,192,140
face_663_60_122.png,126,130,95,244,230,150
face_1157_132_8.png,83,40,25,253,198,133
face_770_77_152.png,57,27,25,243,184,126
face_386_295_35.png,85,63,65,248,232,236
face_211_477_8.png,46,25,18,179,125,95
face_373_145_25.png,89,48,49,253,216,166
face_176_159_43.png,56,28,10,252,174,79
face_83_300_98.png,245,187,145,252,249,187
face_1289_337_144.png,53,13,19,242,186,108
face_282_517_157.png,56,25,14,252,174,85
face_461_52_8.png,74,40,31,252,195,145
