file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_841_90_54.png,231,108,149,251,199,193
face_151_170_55.png,214,170,163,252,250,203
face_297_550_37.png,249,158,165,253,254,254
face_522_241_128.png,240,51,91,253,253,251
face_664_173_113.png,251,180,208,251,252,240
face_455_113_9.png,197,139,119,250,235,177
face_531_379_94.png,199,119,106,253,240,208
face_899_190_111.png,167,66,126,249,238,228
face_303_113_79.png,170,140,130,251,242,226
face_534_115_47.png,214,123,147,253,235,227
face_568_181_87.png,200,166,161,251,237,224
face_588_196_12.png,236,74,123,247,242,216
face_284_189_96.png,197,130,156,252,233,217
face_388_238_137.png,186,94,139,251,238,228
face_768_477_129.png,211,166,167,251,242,221
face_323_124_90.png,236,156,166,253,224,200
face_303_151_73.png,231,126,189,253,240,229
face_784_326_121.png,217,147,172,244,229,204
face_394_0_92.png,251,174,200,237,214,225
face_303_113_141.png,202,161,182,253,246,230
face_568_295_148.png,250,171,215,253,247,240
face_874_241_21.png,150,67,161,251,217,187
face_522_149_6.png,244,180,175,253,248,229
face_397_108_59.png,212,81,124,251,242,207
face_456_83_115.png,151,41,89,228,131,78
face_448_273_11.png,8,0,0,252,237,194
face_159_159_83.png,227,130,170,253,224,196
face_288_173_60.png,193,145,160,252,230,194
face_259_190_133.png,250,195,187,252,238,218
face_1012_158_138.png,194,115,165,252,253,234
face_519_103_117.png,219,152,198,252,254,239
face_90_42_80.png,244,106,153,252,251,251
face_41_456_38.png,181,136,147,253,253,230
face_218_163_63.png,208,142,192,253,234,223
face_351_904_30.png,227,149,181,252,247,213
face_599_163_22.png,243,182,165,252,250,250
face_259_121_156.png,240,179,203,247,228,218
face_386_181_108.png,199,85,128,253,240,222
face_395_26_155.png,151,160,158,243,229,224
face_1285_84_143.png,154,41,87,224,128,76
face_893_329_150.png,231,116,136,250,227,202
face_227_90_35.png,250,163,150,251,202,166
face_311_371_93.png,251,185,182,252,251,246
face_89_358_142.png,216,97,119,253,220,185
face_392_228_81.png,212,106,118,251,219,195
face_207_69_84.png,247,147,148,252,236,217
face_519_290_105.png,157,113,16,252,243,205
face_289_108_106.png,235,147,184,250,225,206
face_1024_265_158.png,238,143,169,252,235,212
face_1045_462_34.png,245,155,228,253,244,236
face_188_139_134.png,91,41,79,253,220,187
face_1109_535_66.png,239,151,141,251,243,220
face_363_126_157.png,215,139,162,249,235,228
face_821_273_154.png,184,74,98,253,249,222
face_227_90_14.png,242,115,98,250,204,169
face_980_142_151.png,250,153,159,253,237,216
face_332_103_28.png,154,72,79,253,207,174
face_719_228_75.png,235,171,171,248,242,214
face_295_136_97.png,252,203,242,252,238,214
face_235_156_58.png,248,157,248,252,254,245
face_249_166_149.png,206,157,165,253,249,242
face_895_328_5.png,244,160,154,253,237,224
face_313_132_33.png,222,133,143,247,216,181
face_363_272_122.png,214,160,146,253,249,245
face_204_469_48.png,252,189,250,252,242,249
face_415_186_110.png,163,109,118,252,230,211
face_196_294_46.png,203,88,114,248,200,186
face_418_352_139.png,210,127,147,252,236,224
face_473_132_31.png,160,62,97,252,218,192
face_1249_205_126.png,246,195,191,253,253,238
face_636_113_44.png,32,5,14,249,240,228
face_354_190_18.png,249,194,217,249,236,223
face_124_124_39.png,177,127,147,244,240,221
face_880_125_57.png,207,133,150,241,222,205
face_166_62_118.png,176,130,139,252,253,239
face_613_422_43.png,222,136,134,252,251,238
face_346_623_52.png,252,148,174,253,242,233
face_502_329_4.png,202,133,156,253,247,234
face_300_205_95.png,213,109,105,179,79,77
face_442_311_88.png,98,117,179,187,149,199
face_211_79_104.png,172,48,101,250,200,194
face_587_174_128.png,244,102,142,253,254,253
face_891_170_49.png,114,56,60,173,119,102
face_581_186_146.png,246,192,215,246,229,218
face_235_196_152.png,226,91,156,248,244,224
face_290_145_42.png,207,156,146,253,249,232
face_360_189_131.png,226,158,156,252,244,213
face_779_242_113.png,233,102,164,252,246,228
face_989_316_27.png,185,130,140,252,228,193
face_1024_208_85.png,216,152,186,248,237,228
face_432_68_143.png,165,42,95,245,137,80
face_246_455_67.png,127,65,85,252,240,222
face_263_620_147.png,178,129,103,253,217,228
face_154_205_121.png,199,164,178,220,225,204
face_379_189_70.png,192,144,139,253,254,253
face_762_86_127.png,239,168,216,252,214,217
face_295_500_89.png,224,131,153,250,235,209
