file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_891_227_31.png,194,126,97,252,233,204
face_814_225_93.png,250,183,140,249,237,219
face_250_159_136.png,156,94,45,253,235,223
face_216_101_82.png,197,135,102,241,198,180
face_265_227_109.png,200,122,80,248,225,201
face_136_272_122.png,109,51,31,237,236,236
face_277_145_23.png,203,143,91,246,221,199
face_1080_166_137.png,185,122,77,236,209,189
face_284_170_140.png,118,63,49,240,242,247
face_323_249_134.png,126,76,49,230,223,195
face_297_352_49.png,152,82,61,247,211,197
face_250_250_21.png,127,71,37,252,247,228
face_272_295_86.png,191,163,147,242,230,224
face_270_145_108.png,200,122,93,253,233,195
face_379_126_149.png,110,102,81,238,230,215
face_398_225_121.png,203,105,54,252,204,144
face_1186_237_99.png,168,115,62,246,249,226
face_270_145_75.png,202,127,99,253,234,197
face_259_207_130.png,199,140,105,253,235,217
face_381_138_78.png,184,109,66,246,240,220
face_159_295_60.png,191,131,100,253,254,244
face_141_423_129.png,113,69,53,253,224,204
face_1180_228_107.png,117,123,77,227,245,234
face_151_284_29.png,210,164,106,253,254,245
face_329_207_61.png,107,46,28,244,204,179
face_382_118_74.png,126,77,26,252,231,176
face_199_149_106.png,201,97,69,252,232,226
face_187_173_76.png,76,23,5,251,219,199
face_322_208_33.png,128,59,31,252,222,208
face_329_242_158.png,79,53,34,229,227,218
face_199_124_157.png,138,65,63,247,234,235
face_1184_245_103.png,167,114,61,246,249,226
face_322_208_15.png,203,126,89,252,222,202
face_265_144_32.png,142,111,88,253,253,226
face_363_227_2.png,114,69,51,244,226,229
face_814_138_139.png,197,115,77,247,211,188
face_272_136_118.png,165,131,91,243,235,222
face_386_90_102.png,161,75,38,253,251,219
face_298_174_0.png,171,98,54,252,252,251
face_329_207_147.png,93,36,20,246,206,180
face_45_272_142.png,102,32,20,252,224,223
face_341_204_48.png,197,100,71,253,254,248
face_940_352_155.png,196,136,101,251,235,217
face_170_170_36.png,208,115,67,246,236,228
face_189_205_55.png,124,82,78,172,161,172
face_49_249_39.png,111,48,41,249,211,209
face_422_170_80.png,81,20,22,234,179,175
face_796_151_150.png,198,119,54,250,233,219
face_227_322_56.png,23,11,4,242,221,204
face_545_685_34.png,155,111,76,252,253,231
face_442_50_68.png,220,148,78,250,253,221
face_841_68_104.png,212,151,104,252,251,251
face_158_569_113.png,239,202,175,252,254,247
face_268_238_50.png,159,115,85,249,228,197
face_381_190_77.png,146,82,59,242,223,204
face_163_136_13.png,201,144,120,253,254,253
face_419_658_44.png,180,95,43,250,252,238
face_583_583_120.png,131,64,77,253,253,249
face_1015_131_1.png,201,142,90,246,220,198
face_261_130_4.png,160,117,88,248,225,203
face_260_404_154.png,90,48,24,246,224,209
face_664_643_110.png,205,141,100,230,201,187
face_925_89_43.png,162,93,45,253,252,241
face_171_567_96.png,176,133,131,246,237,227
face_295_113_88.png,164,92,53,251,234,213
face_186_228_98.png,109,65,70,252,249,231
face_207_121_119.png,199,122,95,253,234,199
face_673_566_1.png,208,150,97,250,228,205
face_227_568_81.png,162,94,52,240,156,145
face_277_207_28.png,178,110,98,248,232,200
face_948_294_92.png,173,97,51,250,203,189
face_227_113_10.png,198,136,59,245,246,210
face_887_181_22.png,198,118,53,249,232,218
face_537_138_51.png,193,136,92,252,222,184
face_448_131_143.png,216,109,72,252,221,209
face_261_130_94.png,176,112,82,251,234,220
face_272_181_84.png,204,164,160,251,234,232
face_663_229_44.png,206,98,69,249,242,222
face_341_303_64.png,125,64,50,252,221,225
face_353_186_46.png,185,122,77,237,209,188
face_871_473_110.png,195,127,87,239,209,192
face_109_136_101.png,201,120,92,254,231,199
face_398_225_123.png,112,60,30,252,203,144
face_1015_131_159.png,202,143,91,246,221,198
face_214_214_70.png,198,119,90,253,232,201
face_138_294_105.png,154,128,70,253,254,251
face_422_170_25.png,93,28,29,235,175,171
face_238_328_138.png,144,89,63,247,219,195
face_272_190_156.png,137,70,41,243,225,205
face_277_602_104.png,198,120,69,252,238,197
face_343_184_17.png,82,63,49,175,161,154
face_112_281_89.png,178,115,82,249,242,216
face_199_149_69.png,198,120,91,253,233,201
face_154_88_16.png,164,101,62,244,229,203
face_284_246_115.png,199,126,91,253,224,204
face_669_559_137.png,184,122,76,233,207,185
face_311_249_19.png,148,95,76,253,233,212
face_146_146_87.png,207,145,105,248,229,212
face_398_149_127.png,98,50,29,250,222,201
face_284_246_24.png,110,60,39,253,222,200
face_270_270_102.png,197,97,57,253,250,215
face_1024_189_9.png,99,43,8,247,246,237
face_154_88_131.png,170,108,69,248,233,207
face_442_142_40.png,172,93,69,251,231,233
face_831_242_95.png,109,58,53,245,218,207
face_577_158_151.png,248,165,125,252,251,238
face_174_572_85.png,193,128,92,241,209,190
face_199_149_58.png,200,97,69,252,231,225
face_204_204_45.png,184,82,31,252,250,230
face_142_205_125.png,114,66,36,179,160,142
face_246_227_116.png,222,143,98,252,244,234
face_188_282_53.png,219,156,128,253,228,194
