file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_1060_349_52.png,111,99,83,253,216,179
face_796_249_150.png,84,51,59,240,213,208
face_186_166_142.png,62,50,57,252,225,220
face_273_224_135.png,89,80,72,251,219,183
face_205_221_30.png,46,30,17,240,193,144
face_454_181_148.png,36,16,21,243,204,186
face_806_268_82.png,50,38,37,248,216,190
face_121_143_38.png,105,91,76,240,228,201
face_415_207_7.png,43,42,32,251,235,196
face_273_74_113.png,121,95,61,252,210,175
face_190_225_127.png,83,65,67,253,203,165
face_207_270_133.png,65,54,48,239,210,194
face_128_633_46.png,107,70,82,240,210,190
face_682_523_112.png,50,42,36,250,199,158
face_1111_352_137.png,140,129,102,240,220,189
face_1080_145_15.png,57,43,34,249,196,150
face_303_170_86.png,64,39,65,241,225,181
face_224_124_4.png,148,148,148,245,228,215
face_205_142_68.png,37,24,12,241,201,154
face_352_235_25.png,64,66,87,252,226,201
face_1200_580_141.png,129,106,99,252,242,229
face_536_293_14.png,87,71,52,234,185,142
face_144_158_141.png,121,120,112,252,241,227
face_398_606_37.png,41,34,23,241,198,149
face_273_74_24.png,117,92,58,252,213,178
face_398_273_57.png,58,61,72,252,225,208
face_1033_451_131.png,112,108,84,242,202,166
face_314_692_92.png,144,133,105,253,252,226
face_137_788_147.png,105,99,58,252,250,214
face_796_249_149.png,85,53,60,240,214,208
face_85_79_79.png,48,30,14,235,191,146
face_654_644_79.png,101,75,48,230,181,137
face_96_433_83.png,36,20,24,248,211,180
face_474_550_127.png,51,39,44,253,210,172
face_68_696_79.png,46,23,9,235,189,144
face_1078_352_90.png,120,107,87,252,215,173
face_290_597_147.png,116,113,76,250,240,199
face_199_199_154.png,55,36,19,246,244,237
face_936_686_45.png,77,88,81,252,245,233
face_94_493_72.png,41,21,24,241,219,174
face_845_163_105.png,104,88,69,242,211,186
face_751_214_123.png,56,53,48,247,202,168
face_231_176_37.png,44,33,28,238,195,148
face_211_688_79.png,51,27,11,235,189,144
face_76_55_94.png,76,52,47,183,143,127
face_277_121_143.png,96,89,95,252,233,214
face_354_272_119.png,45,19,17,243,214,181
face_359_359_41.png,51,40,59,245,209,200
face_318_181_49.png,85,47,51,248,193,171
face_273_348_80.png,138,135,97,252,252,198
face_392_294_62.png,102,98,85,251,243,202
face_188_188_95.png,114,105,79,248,237,222
face_622_377_28.png,58,34,29,237,192,155
face_314_761_147.png,114,111,70,252,250,206
face_363_204_159.png,53,50,55,252,223,182
face_190_599_108.png,73,60,72,244,226,216
face_22_159_87.png,53,51,57,252,223,182
face_391_838_79.png,47,22,10,234,185,139
face_75_398_99.png,57,41,46,246,195,168
face_298_53_6.png,122,118,101,251,228,204
face_229_849_79.png,50,25,11,236,189,143
face_272_227_104.png,53,32,30,236,209,177
face_642_7_101.png,112,103,94,233,218,196
face_465_644_97.png,77,78,69,254,238,224
face_122_130_19.png,87,82,41,251,237,198
face_1241_698_45.png,72,83,77,252,245,233
face_91_719_78.png,36,22,16,234,205,148
face_1111_352_20.png,113,99,82,252,215,178
face_496_419_34.png,69,54,22,238,198,150
face_796_249_43.png,80,48,54,241,215,209
face_237_277_76.png,145,141,94,252,252,217
face_348_363_19.png,160,153,118,251,239,204
face_224_124_120.png,158,152,156,251,234,224
face_89_179_101.png,121,124,121,252,239,225
face_363_204_21.png,53,50,53,252,223,183
face_160_180_40.png,47,37,32,234,202,153
face_363_159_117.png,71,64,54,242,235,235
face_429_803_34.png,93,78,44,236,198,142
face_17_242_116.png,41,26,30,250,200,168
face_173_623_118.png,60,56,54,238,199,161
face_392_294_106.png,103,98,87,252,242,201
face_538_726_147.png,176,170,126,252,249,206
face_122_597_147.png,138,130,88,253,251,212
face_122_68_47.png,140,132,95,252,250,214
face_94_493_77.png,41,21,24,241,219,172
face_412_633_158.png,66,49,32,243,211,182
face_1017_186_85.png,48,45,29,240,199,146
face_341_181_33.png,163,161,131,252,244,208
face_354_409_53.png,60,43,31,251,217,186
face_286_214_132.png,30,27,38,242,208,184
face_357_697_79.png,44,20,9,233,185,142
face_244_145_157.png,97,88,78,246,224,193
face_1111_352_84.png,111,97,80,253,215,178
face_197_224_3.png,78,71,62,252,240,222
face_75_854_79.png,51,26,12,235,189,144
face_751_214_121.png,48,46,41,247,202,167
face_461_329_60.png,55,26,26,247,225,184
