file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_346_37_70.png,161,225,162,253,240,229
face_502_170_122.png,85,151,167,252,250,230
face_154_257_32.png,81,143,121,247,233,178
face_121_319_112.png,70,134,84,246,238,188
face_327_299_31.png,84,125,132,242,144,127
face_682_121_156.png,112,179,100,241,227,208
face_747_192_134.png,150,240,198,252,252,248
face_955_186_131.png,112,172,198,253,235,221
face_136_136_77.png,223,237,148,252,243,241
face_866_138_45.png,163,202,158,238,236,204
face_522_224_60.png,111,217,186,242,231,222
face_316_79_97.png,51,159,196,249,251,231
face_554_96_68.png,52,134,122,252,248,236
face_294_363_44.png,138,203,190,249,238,220
face_436_94_84.png,42,69,51,249,224,209
face_763_200_5.png,165,234,188,252,253,238
face_407_55_130.png,37,35,35,238,240,199
face_246_189_59.png,85,149,149,252,250,237
face_272_545_145.png,59,105,103,252,250,234
face_442_142_34.png,33,94,79,251,236,203
face_295_204_37.png,107,221,195,243,232,225
face_246_113_55.png,179,228,217,253,232,195
face_686_132_0.png,128,231,156,244,216,165
face_532_190_96.png,162,239,241,252,249,232
face_784_490_47.png,152,187,137,251,238,194
face_228_261_38.png,60,141,136,253,245,213
face_214_300_80.png,111,220,200,247,232,228
face_412_220_24.png,50,53,44,242,189,146
face_481_530_26.png,107,249,235,252,235,220
face_250_432_42.png,76,228,137,253,237,227
face_190_155_8.png,54,112,121,245,229,196
face_176_407_51.png,101,146,138,246,213,195
face_426_258_107.png,128,124,94,251,240,238
face_313_590_142.png,109,131,93,246,228,180
face_138_718_144.png,110,139,67,252,238,208
face_980_523_151.png,132,156,126,250,254,237
face_359_261_21.png,225,252,162,251,249,236
face_768_311_39.png,100,149,141,252,253,238
face_1170_142_25.png,31,141,129,243,190,182
face_144_72_65.png,103,134,124,248,230,199
face_616_94_101.png,13,129,132,244,248,246
face_214_322_153.png,83,137,137,253,235,222
face_300_316_83.png,118,163,130,200,196,176
face_398_138_140.png,82,170,145,253,241,188
face_736_190_135.png,90,121,94,253,233,195
face_79_110_43.png,86,108,118,191,153,150
face_474_92_40.png,191,219,164,250,239,236
face_120_662_11.png,84,162,115,251,172,155
face_971_199_13.png,107,139,64,240,171,158
face_859_214_15.png,3,4,3,248,234,225
face_701_208_129.png,48,84,83,252,241,234
face_346_259_17.png,160,218,173,253,233,200
face_977_250_73.png,77,99,101,247,252,239
face_569_250_70.png,98,96,70,247,191,169
face_351_190_27.png,92,147,111,252,253,252
face_561_319_30.png,102,140,106,252,245,246
face_329_343_100.png,170,197,162,248,229,206
face_223_500_33.png,52,136,91,253,253,253
face_891_187_99.png,108,168,145,251,237,204
face_469_385_150.png,9,145,177,253,248,230
face_323_149_126.png,24,141,57,240,194,158
face_972_174_27.png,100,175,139,253,253,243
face_228_166_71.png,202,237,159,252,231,201
face_759_650_11.png,125,203,111,251,193,172
face_1138_588_92.png,119,251,113,252,238,223
face_160_321_22.png,20,103,54,241,227,233
face_207_145_132.png,111,171,142,246,236,160
face_298_273_141.png,176,226,199,251,246,239
face_329_514_70.png,98,154,117,253,236,226
face_383_559_74.png,69,53,29,249,246,212
face_237_250_147.png,67,105,143,238,120,140
face_409_181_123.png,123,167,152,251,254,239
face_482_342_1.png,75,105,134,240,221,217
face_323_149_136.png,59,106,68,249,226,183
face_303_284_110.png,37,64,56,240,193,173
face_462_202_104.png,67,101,83,254,232,206
face_489_275_105.png,101,234,183,251,235,216
face_854_58_118.png,20,12,53,251,237,223
face_925_179_117.png,53,55,35,253,250,233
face_994_170_23.png,122,158,135,245,211,187
face_45_136_109.png,133,183,183,242,207,167
face_519_207_81.png,62,196,170,253,244,228
face_836_119_46.png,105,223,185,246,227,215
face_311_332_143.png,113,216,186,245,230,220
face_1055_73_115.png,44,48,46,157,88,117
face_401_90_156.png,75,158,124,241,227,208
face_284_189_20.png,107,179,134,241,242,236
face_231_231_41.png,169,200,147,252,238,217
face_775_139_155.png,22,45,77,251,242,233
face_409_136_94.png,80,149,140,252,227,193
face_294_130_149.png,136,180,55,250,247,235
face_295_136_78.png,160,205,150,250,230,202
