file,hair_r,hair_g,hair_b,skin_r,skin_g,skin_b
face_131_290_77.png,58,29,66,243,205,179
face_552_241_112.png,75,60,99,231,185,144
face_488_474_39.png,205,168,134,229,217,183
face_1000_265_87.png,184,104,86,252,215,180
face_140_582_91.png,199,182,207,252,251,215
face_1000_265_20.png,48,32,59,252,215,182
face_474_329_86.png,37,35,78,248,212,188
face_587_192_85.png,88,53,64,236,227,192
face_594_356_91.png,202,187,211,252,252,221
face_199_681_82.png,39,21,31,236,207,151
face_794_115_144.png,164,173,218,252,240,228
face_159_250_60.png,87,69,134,252,242,225
face_836_119_114.png,47,48,68,150,105,95
face_332_142_108.png,95,83,97,251,243,203
face_445_289_96.png,204,195,216,252,254,240
face_136_136_105.png,112,89,144,253,221,179
face_1000_253_138.png,77,62,62,241,219,189
face_415_450_74.png,35,50,103,248,201,186
face_341_834_78.png,31,9,22,236,188,148
face_589_650_91.png,201,187,212,252,252,223
face_170_113_11.png,31,24,68,252,227,186
face_457_98_158.png,149,138,175,252,243,226
face_142_537_129.png,43,25,56,253,204,165
face_69_138_21.png,70,34,91,245,246,239
face_128_214_128.png,67,27,92,245,246,238
face_318_159_1.png,137,117,151,247,236,227
face_270_186_24.png,57,42,79,239,208,185
face_432_204_47.png,68,29,67,251,189,161
face_211_329_10.png,63,62,68,250,241,208
face_272_159_88.png,31,25,71,252,227,186
face_531_132_91.png,182,168,191,252,253,223
face_163_163_110.png,70,78,103,252,236,220
face_500_227_89.png,33,23,39,228,188,165
face_332_427_81.png,42,19,53,243,223,178
face_290_166_146.png,79,69,99,246,225,196
face_290_166_25.png,79,69,100,245,225,196
face_170_113_8.png,30,24,66,252,227,187
face_68_704_78.png,27,9,20,234,186,142
face_295_113_76.png,163,159,201,253,249,225
face_132_417_68.png,56,27,47,248,225,183
face_130_311_48.png,52,39,46,241,213,181
face_218_109_121.png,43,42,96,251,220,217
face_528_528_42.png,41,30,36,245,201,168
face_535_727_33.png,194,182,190,252,253,237
face_99_99_16.png,178,165,193,253,238,219
face_140_753_45.png,212,155,112,241,217,203
face_590_814_78.png,82,49,81,231,184,142
face_793_361_92.png,208,166,144,245,220,192
face_332_427_75.png,44,22,61,243,223,176
face_594_209_91.png,204,188,211,252,251,219
face_432_204_12.png,66,27,67,252,189,162
face_284_205_132.png,39,37,54,244,211,185
face_636_62_110.png,64,72,85,242,224,205
face_82_743_91.png,200,184,208,252,252,215
face_594_803_91.png,197,186,208,252,252,225
face_498_149_141.png,55,54,79,249,237,227
face_204_227_113.png,46,35,59,252,204,162
face_490_163_95.png,67,28,68,251,186,160
face_528_528_154.png,40,28,33,245,201,168
face_170_824_40.png,20,7,10,243,208,174
face_432_204_59.png,68,27,63,252,188,161
face_140_582_45.png,94,85,116,239,210,192
face_496_489_143.png,88,75,88,236,196,133
face_457_108_142.png,44,26,35,150,94,65
face_409_237_104.png,94,87,108,253,239,221
face_80_60_116.png,183,172,196,251,245,213
face_140_90_0.png,155,88,156,253,240,215
face_420_757_91.png,114,107,119,251,250,215
face_429_171_135.png,81,66,117,217,159,162
face_139_475_51.png,129,82,143,246,243,206
face_963_265_90.png,50,34,61,252,214,173
face_481_469_43.png,42,31,48,238,205,152
face_169_225_149.png,32,29,64,236,194,153
face_341_582_91.png,183,169,191,252,251,218
face_363_272_52.png,49,30,50,236,190,165
face_552_48_7.png,97,92,110,250,227,208
face_288_245_65.png,156,92,66,248,204,174
face_290_166_103.png,80,70,102,244,224,194
face_158_158_44.png,64,32,43,245,235,194
face_538_726_91.png,187,173,198,252,252,223
face_299_136_2.png,89,78,148,240,229,163
face_566_199_69.png,54,28,61,241,208,184
face_298_199_51.png,243,171,82,250,249,231
face_693_447_131.png,90,70,111,251,202,170
face_294_485_134.png,210,190,212,252,253,235
face_454_136_123.png,59,33,62,241,224,195
face_227_151_35.png,83,89,103,247,230,211
face_531_873_91.png,190,176,200,252,250,221
face_1266_651_130.png,33,49,112,233,219,209
face_715_88_3.png,76,50,70,251,238,232
face_705_156_136.png,67,52,77,229,226,216
face_211_688_78.png,35,13,31,234,186,145
face_531_279_91.png,195,181,204,251,251,219
face_17_138_34.png,135,141,176,250,248,180
face_987_537_152.png,66,45,71,253,222,186
face_73_844_78.png,31,11,26,233,185,141
face_229_849_78.png,30,10,22,232,185,145
face_290_166_58.png,80,69,100,246,226,197
face_381_294_101.png,218,203,222,253,254,249
face_341_227_118.png,68,76,93,252,237,224
face_113_189_127.png,46,36,52,250,206,167
face_348_273_99.png,58,36,58,238,195,173
face_520_589_156.png,34,15,22,239,215,174
face_227_151_56.png,120,125,150,249,243,209
face_531_580_91.png,186,171,193,252,252,225
face_146_118_14.png,105,95,98,252,251,208
face_415_86_144.png,144,152,197,252,243,232
face_477_825_73.png,46,29,49,236,196,156
face_594_503_91.png,202,187,212,252,253,225
face_590_421_36.png,123,108,142,252,245,224
face_381_225_13.png,60,43,51,243,203,153
face_103_259_137.png,95,67,88,196,156,133
face_252_750_91.png,106,97,100,252,252,219
face_531_643_133.png,87,78,108,237,202,159
face_130_321_45.png,97,88,128,239,221,208
face_170_265_80.png,3,1,3,252,232,205
face_207_228_46.png,139,124,149,252,254,232
face_538_76_10.png,61,56,57,251,240,204
